,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,date,Points-Differential,FieldGoals-Differential,FieldGoalsAttempted-Differential,FieldGoals.-Differential,3PointShots-Differential,3PointShotsAttempted-Differential,3PointShots.-Differential,FreeThrows-Differential,FreeThrowsAttempted-Differential,FreeThrows.-Differential,OffRebounds-Differential,TotalRebounds-Differential,Assists-Differential,Steals-Differential,Blocks-Differential,Turnovers-Differential,TotalFouls-Differential,cumalitive_Points,cumalitive_Points_differential,cumalitive_FieldGoals,cumalitive_FieldGoals_differential,cumalitive_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted_differential,cumalitive_FieldGoals.,cumalitive_FieldGoals._differential,cumalitive_3PointShots,cumalitive_3PointShots_differential,cumalitive_3PointShotsAttempted,cumalitive_3PointShotsAttempted_differential,cumalitive_3PointShots.,cumalitive_3PointShots._differential,cumalitive_FreeThrows,cumalitive_FreeThrows_differential,cumalitive_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted_differential,cumalitive_FreeThrows.,cumalitive_FreeThrows._differential,cumalitive_OffRebounds,cumalitive_OffRebounds_differential,cumalitive_TotalRebounds,cumalitive_TotalRebounds_differential,cumalitive_Assists,cumalitive_Assists_differential,cumalitive_Steals,cumalitive_Steals_differential,cumalitive_Blocks,cumalitive_Blocks_differential,cumalitive_Turnovers,cumalitive_Turnovers_differential,cumalitive_TotalFouls,cumalitive_TotalFouls_differential
1066,1066,3526,1164,LAL,1,2015-10-28,Home,MIN,L,111,112,35,90,0.389,9,34,0.265,32,35,0.914,12,48,18,2,4,13,29,38,83,0.45799999999999996,5,20,0.25,31,37,0.838,6,39,24,3,4,8,26,2015-10-28,-1,-3,7,-0.069,4,14,0.015000000000000013,1,-2,0.07600000000000008,6,9,-6,-1,0,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,1067,3527,2164,LAL,2,2015-10-30,Away,SAC,L,114,132,41,89,0.461,11,34,0.324,21,27,0.778,8,37,20,7,9,19,24,52,101,0.515,6,22,0.273,22,30,0.733,16,56,26,6,7,14,23,2015-10-30,-18,-11,-12,-0.053999999999999986,5,12,0.05099999999999999,-1,-3,0.04500000000000004,-8,-19,-6,1,2,5,1,111.0,-1.0,35.0,-3.0,90.0,7.0,0.389,-0.069,9.0,4.0,34.0,14.0,0.265,0.015000000000000013,32.0,1.0,35.0,-2.0,0.914,0.07600000000000008,12.0,6.0,48.0,9.0,18.0,-6.0,2.0,-1.0,4.0,0.0,13.0,5.0,29.0,3.0
1068,1068,3528,3164,LAL,3,2015-11-01,Home,DAL,L,93,103,31,85,0.365,10,34,0.294,21,28,0.75,8,42,18,8,9,12,20,40,87,0.46,11,30,0.3670000000000001,12,16,0.75,8,49,28,5,4,11,22,2015-11-01,-10,-9,-2,-0.09500000000000004,-1,4,-0.07300000000000012,9,12,0.0,0,-7,-10,3,5,1,-2,225.0,-19.0,76.0,-14.0,179.0,-5.0,0.8500000000000001,-0.123,20.0,9.0,68.0,26.0,0.589,0.066,53.0,0.0,62.0,-5.0,1.6920000000000002,0.12100000000000012,20.0,-2.0,85.0,-10.0,38.0,-12.0,9.0,0.0,13.0,2.0,32.0,10.0,53.0,4.0
1069,1069,3529,4164,LAL,4,2015-11-03,Home,DEN,L,109,120,36,86,0.419,6,26,0.231,31,38,0.816,11,40,18,9,4,10,28,43,85,0.506,7,20,0.35,27,31,0.871,11,49,30,5,7,14,23,2015-11-03,-11,-7,1,-0.08700000000000002,-1,6,-0.11899999999999995,4,7,-0.05500000000000005,0,-9,-12,4,-3,-4,5,318.0,-29.0,107.0,-23.0,264.0,-7.0,1.215,-0.21800000000000003,30.0,8.0,102.0,30.0,0.883,-0.007000000000000117,74.0,9.0,90.0,7.0,2.442,0.12100000000000012,28.0,-2.0,127.0,-17.0,56.0,-22.0,17.0,3.0,22.0,7.0,44.0,11.0,73.0,2.0
1070,1070,3530,5164,LAL,5,2015-11-06,Away,BRK,W,104,98,33,78,0.423,7,23,0.304,31,40,0.775,5,40,14,9,6,15,22,40,93,0.43,3,19,0.158,15,20,0.75,14,46,21,6,6,15,29,2015-11-06,6,-7,-15,-0.007000000000000006,4,4,0.146,16,20,0.025000000000000026,-9,-6,-7,3,0,0,-7,427.0,-40.0,143.0,-30.0,350.0,-6.0,1.6340000000000001,-0.30500000000000005,36.0,7.0,128.0,36.0,1.114,-0.12600000000000006,105.0,13.0,128.0,14.0,3.258,0.06600000000000007,39.0,-2.0,167.0,-26.0,74.0,-34.0,26.0,7.0,26.0,4.0,54.0,7.0,101.0,7.0
1071,1071,3531,6164,LAL,6,2015-11-08,Away,NYK,L,95,99,36,94,0.38299999999999995,9,27,0.33299999999999996,14,23,0.609,12,46,19,7,3,9,20,33,84,0.39299999999999996,9,27,0.33299999999999996,24,29,0.828,10,52,22,5,5,9,15,2015-11-08,-4,3,10,-0.010000000000000007,0,0,0.0,-10,-6,-0.219,2,-6,-3,2,-2,0,5,531.0,-34.0,176.0,-37.0,428.0,-21.0,2.057,-0.31200000000000006,43.0,11.0,151.0,40.0,1.4180000000000001,0.019999999999999934,136.0,29.0,168.0,34.0,4.033,0.0910000000000001,44.0,-11.0,207.0,-32.0,88.0,-41.0,35.0,10.0,32.0,4.0,69.0,7.0,123.0,0.0
1072,1072,3532,7164,LAL,7,2015-11-10,Away,MIA,L,88,101,34,77,0.442,11,22,0.5,9,12,0.75,5,36,21,7,7,17,21,38,84,0.452,5,20,0.25,20,27,0.741,15,47,23,7,7,10,12,2015-11-10,-13,-4,-7,-0.010000000000000007,6,2,0.25,-11,-15,0.009000000000000008,-10,-11,-2,0,0,7,9,626.0,-38.0,212.0,-34.0,522.0,-11.0,2.44,-0.32200000000000006,52.0,11.0,178.0,40.0,1.7510000000000001,0.019999999999999934,150.0,19.0,191.0,28.0,4.642,-0.1279999999999999,56.0,-9.0,253.0,-38.0,107.0,-44.0,42.0,12.0,35.0,2.0,78.0,7.0,143.0,5.0
1073,1073,3533,862,LAL,8,2015-11-11,Away,ORL,L,99,101,39,79,0.494,7,22,0.318,14,18,0.778,7,43,25,5,7,13,11,40,100,0.4,13,28,0.46399999999999997,8,12,0.667,23,54,22,7,4,8,19,2015-11-11,-2,-1,-21,0.09399999999999996,-6,-6,-0.14600000000000002,6,6,0.111,-16,-11,3,-2,3,5,-8,714.0,-51.0,246.0,-38.0,599.0,-18.0,2.882,-0.3320000000000001,63.0,17.0,200.0,42.0,2.2510000000000003,0.2699999999999999,159.0,8.0,203.0,13.0,5.392,-0.11899999999999988,61.0,-19.0,289.0,-49.0,128.0,-46.0,49.0,12.0,42.0,2.0,95.0,14.0,164.0,14.0
1074,1074,3534,943,LAL,9,2015-11-13,Away,DAL,L,82,90,29,88,0.33,9,27,0.33299999999999996,15,18,0.833,15,57,18,10,7,20,27,30,82,0.366,7,27,0.259,23,29,0.7929999999999999,7,48,19,9,4,15,15,2015-11-13,-8,-1,6,-0.035999999999999976,2,0,0.07400000000000001,-8,-11,0.040000000000000036,8,9,-1,1,3,5,12,813.0,-53.0,285.0,-39.0,678.0,-39.0,3.3760000000000003,-0.2380000000000001,70.0,11.0,222.0,36.0,2.5690000000000004,0.12399999999999989,173.0,14.0,221.0,19.0,6.17,-0.007999999999999882,68.0,-35.0,332.0,-60.0,153.0,-43.0,54.0,10.0,49.0,5.0,108.0,19.0,175.0,6.0
1075,1075,3535,1043,LAL,10,2015-11-15,Home,DET,W,97,85,31,75,0.413,6,19,0.316,29,39,0.7440000000000001,7,46,24,5,5,16,19,35,96,0.365,7,27,0.259,8,15,0.5329999999999999,12,46,16,7,2,10,25,2015-11-15,12,-4,-21,0.04799999999999999,-1,-8,0.057,21,24,0.2110000000000002,-5,0,8,-2,3,6,-6,895.0,-61.0,314.0,-40.0,766.0,-33.0,3.7060000000000004,-0.2740000000000001,79.0,13.0,249.0,36.0,2.902,0.1979999999999999,188.0,6.0,239.0,8.0,7.003,0.03200000000000015,83.0,-27.0,389.0,-51.0,171.0,-44.0,64.0,11.0,56.0,8.0,128.0,24.0,202.0,18.0
1076,1076,3536,1165,LAL,11,2015-11-16,Away,PHO,L,101,120,37,77,0.48100000000000004,9,20,0.45,18,20,0.9,7,37,12,5,2,16,23,45,93,0.484,11,30,0.3670000000000001,19,25,0.76,18,50,23,13,6,10,16,2015-11-16,-19,-8,-16,-0.003000000000000003,-2,-10,0.08299999999999991,-1,-5,0.14,-11,-13,-11,-8,-4,6,7,992.0,-49.0,345.0,-44.0,841.0,-54.0,4.119000000000001,-0.2260000000000001,85.0,12.0,268.0,28.0,3.218,0.2549999999999999,217.0,27.0,278.0,32.0,7.747,0.24300000000000033,90.0,-32.0,435.0,-51.0,195.0,-36.0,69.0,9.0,61.0,11.0,144.0,30.0,221.0,12.0
1077,1077,3537,1245,LAL,12,2015-11-20,Home,TOR,L,91,102,35,77,0.455,8,25,0.32,13,17,0.765,9,41,21,8,4,15,18,34,78,0.436,15,33,0.455,19,24,0.792,12,41,21,7,3,12,15,2015-11-20,-11,1,-1,0.019000000000000017,-7,-8,-0.135,-6,-7,-0.027000000000000024,-3,0,0,1,1,3,3,1093.0,-68.0,382.0,-52.0,918.0,-70.0,4.6000000000000005,-0.2290000000000001,94.0,10.0,288.0,18.0,3.668,0.3379999999999998,235.0,26.0,298.0,27.0,8.647,0.38300000000000034,97.0,-43.0,472.0,-64.0,207.0,-47.0,74.0,1.0,63.0,7.0,160.0,36.0,244.0,19.0
1078,1078,3538,1343,LAL,13,2015-11-22,Home,POR,L,93,107,32,88,0.364,6,18,0.33299999999999996,23,27,0.852,15,51,17,2,6,10,12,43,87,0.494,8,25,0.32,13,17,0.765,7,43,27,7,8,10,18,2015-11-22,-14,-11,1,-0.13,-2,-7,0.013000000000000013,10,10,0.08699999999999998,8,8,-10,-5,-2,0,-6,1184.0,-79.0,417.0,-51.0,995.0,-71.0,5.055000000000001,-0.21000000000000008,102.0,3.0,313.0,10.0,3.988,0.2029999999999998,248.0,20.0,315.0,20.0,9.412,0.3560000000000003,106.0,-46.0,513.0,-64.0,228.0,-47.0,82.0,2.0,67.0,8.0,175.0,39.0,262.0,22.0
1079,1079,3539,1443,LAL,14,2015-11-24,Away,GSW,L,77,111,31,83,0.373,3,21,0.14300000000000002,12,16,0.75,8,45,16,8,2,14,15,45,92,0.489,12,35,0.34299999999999997,9,15,0.6,12,48,32,9,6,8,13,2015-11-24,-34,-14,-9,-0.116,-9,-14,-0.2,3,1,0.15000000000000002,-4,-3,-16,-1,-4,6,2,1277.0,-93.0,449.0,-62.0,1083.0,-70.0,5.4190000000000005,-0.3400000000000001,108.0,1.0,331.0,3.0,4.321,0.2159999999999998,271.0,30.0,342.0,30.0,10.264000000000001,0.4430000000000003,121.0,-38.0,564.0,-56.0,245.0,-57.0,84.0,-3.0,73.0,6.0,185.0,39.0,274.0,16.0
1080,1080,3540,1543,LAL,15,2015-11-28,Away,POR,L,96,108,36,82,0.439,7,23,0.304,17,23,0.7390000000000001,6,33,20,12,2,9,19,38,78,0.48700000000000004,12,30,0.4,20,26,0.769,12,46,24,5,2,16,16,2015-11-28,-12,-2,4,-0.04799999999999999,-5,-7,-0.09600000000000004,-3,-3,-0.02999999999999992,-6,-13,-4,7,0,-7,3,1354.0,-127.0,480.0,-76.0,1166.0,-79.0,5.792000000000001,-0.45600000000000007,111.0,-8.0,352.0,-11.0,4.4639999999999995,0.015999999999999792,283.0,33.0,358.0,31.0,11.014000000000001,0.5930000000000003,129.0,-42.0,609.0,-59.0,261.0,-73.0,92.0,-4.0,75.0,2.0,199.0,45.0,289.0,18.0
1081,1081,3541,1643,LAL,16,2015-11-29,Home,IND,L,103,107,38,99,0.384,11,33,0.33299999999999996,16,22,0.727,15,54,17,6,5,10,27,34,83,0.41,9,27,0.33299999999999996,30,37,0.8109999999999999,9,50,17,4,5,15,18,2015-11-29,-4,4,16,-0.025999999999999968,2,6,0.0,-14,-15,-0.08399999999999996,6,4,0,2,0,-5,9,1450.0,-139.0,516.0,-78.0,1248.0,-75.0,6.231000000000001,-0.504,118.0,-13.0,375.0,-18.0,4.768,-0.08000000000000025,300.0,30.0,381.0,28.0,11.753000000000002,0.5630000000000004,135.0,-48.0,642.0,-72.0,281.0,-77.0,104.0,3.0,77.0,2.0,208.0,38.0,308.0,21.0
1082,1082,3542,1743,LAL,17,2015-12-01,Away,PHI,L,91,103,33,89,0.371,8,34,0.235,17,24,0.708,12,46,15,4,2,11,19,37,79,0.46799999999999997,14,32,0.43799999999999994,15,23,0.652,10,47,28,6,8,15,18,2015-12-01,-12,-4,10,-0.09700000000000003,-6,2,-0.203,2,1,0.05599999999999994,2,-1,-13,-2,-6,-4,1,1553.0,-143.0,554.0,-74.0,1347.0,-59.0,6.615000000000001,-0.53,129.0,-11.0,408.0,-12.0,5.101,-0.08000000000000025,316.0,16.0,403.0,13.0,12.480000000000002,0.4790000000000004,150.0,-42.0,696.0,-68.0,298.0,-77.0,110.0,5.0,82.0,2.0,218.0,33.0,335.0,30.0
