,Unnamed: 0,Unnamed: 0.1.1.1.1.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,cumalitive_Points,cumalitive_Opp.Points,cumalitive_differential_Points,average_Points,average_Opp.{},average_Points_differential,differential_FieldGoals,cumalitive_FieldGoals,cumalitive_Opp.FieldGoals,cumalitive_differential_FieldGoals,average_FieldGoals,average_FieldGoals_differential,differential_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted,cumalitive_Opp.FieldGoalsAttempted,cumalitive_differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_FieldGoalsAttempted_differential,differential_FieldGoals.,cumalitive_FieldGoals.,cumalitive_Opp.FieldGoals.,cumalitive_differential_FieldGoals.,average_FieldGoals.,average_FieldGoals._differential,differential_3PointShots,cumalitive_3PointShots,cumalitive_Opp.3PointShots,cumalitive_differential_3PointShots,average_3PointShots,average_3PointShots_differential,differential_3PointShotsAttempted,cumalitive_3PointShotsAttempted,cumalitive_Opp.3PointShotsAttempted,cumalitive_differential_3PointShotsAttempted,average_3PointShotsAttempted,average_3PointShotsAttempted_differential,differential_3PointShots.,cumalitive_3PointShots.,cumalitive_Opp.3PointShots.,cumalitive_differential_3PointShots.,average_3PointShots.,average_3PointShots._differential,differential_FreeThrows,cumalitive_FreeThrows,cumalitive_Opp.FreeThrows,cumalitive_differential_FreeThrows,average_FreeThrows,average_FreeThrows_differential,differential_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted,cumalitive_Opp.FreeThrowsAttempted,cumalitive_differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_FreeThrowsAttempted_differential,differential_FreeThrows.,cumalitive_FreeThrows.,cumalitive_Opp.FreeThrows.,cumalitive_differential_FreeThrows.,average_FreeThrows.,average_FreeThrows._differential,differential_OffRebounds,cumalitive_OffRebounds,cumalitive_Opp.OffRebounds,cumalitive_differential_OffRebounds,average_OffRebounds,average_OffRebounds_differential,differential_TotalRebounds,cumalitive_TotalRebounds,cumalitive_Opp.TotalRebounds,cumalitive_differential_TotalRebounds,average_TotalRebounds,average_TotalRebounds_differential,differential_Assists,cumalitive_Assists,cumalitive_Opp.Assists,cumalitive_differential_Assists,average_Assists,average_Assists_differential,differential_Steals,cumalitive_Steals,cumalitive_Opp.Steals,cumalitive_differential_Steals,average_Steals,average_Steals_differential,differential_Blocks,cumalitive_Blocks,cumalitive_Opp.Blocks,cumalitive_differential_Blocks,average_Blocks,average_Blocks_differential,differential_Turnovers,cumalitive_Turnovers,cumalitive_Opp.Turnovers,cumalitive_differential_Turnovers,average_Turnovers,average_Turnovers_differential,differential_TotalFouls,cumalitive_TotalFouls,cumalitive_Opp.TotalFouls,cumalitive_differential_TotalFouls,average_TotalFouls,average_TotalFouls_differential
0,0,1304,WAS,1,2016-10-27,Away,ATL,L,99,114,40,94,0.426,6,20,0.3,13,18,0.722,12,40,25,14,4,19,20,44,88,0.5,12,26,0.462,14,18,0.778,14,52,28,13,7,21,19,-15,99,114,-15,99.0,19.0,-15.0,-4,40,44,-4,40.0,-4.0,6,94,88,6,94.0,6.0,-0.07400000000000001,0.426,0.5,-0.07400000000000001,0.426,-0.07400000000000001,-6,6,12,-6,6.0,-6.0,-6,20,26,-6,20.0,-6.0,-0.16200000000000003,0.3,0.462,-0.16200000000000003,0.3,-0.16200000000000003,-1,13,14,-1,13.0,-1.0,0,18,18,0,18.0,0.0,-0.05600000000000005,0.722,0.778,-0.05600000000000005,0.722,-0.05600000000000005,-2,12,14,-2,12.0,-2.0,-12,40,52,-12,40.0,-12.0,-3,25,28,-3,25.0,-3.0,1,14,13,1,14.0,1.0,-3,4,7,-3,4.0,-3.0,-2,19,21,-2,19.0,-2.0,1,20,19,1,20.0,1.0
1,1,2304,WAS,2,2016-10-30,Away,MEM,L,103,112,38,86,0.442,5,25,0.2,22,25,0.88,8,40,19,8,4,14,23,39,88,0.44299999999999995,15,31,0.484,19,26,0.731,11,47,24,9,2,14,26,-9,202,226,-24,101.0,22.5,-12.0,-1,78,83,-5,39.0,-2.5,-2,180,176,4,90.0,2.0,-0.0009999999999999454,0.868,0.943,-0.07499999999999996,0.434,-0.03749999999999998,-10,11,27,-16,5.5,-8.0,-6,45,57,-12,22.5,-6.0,-0.284,0.5,0.946,-0.446,0.25,-0.223,3,35,33,2,17.5,1.0,-1,43,44,-1,21.5,-0.5,0.14900000000000002,1.6019999999999999,1.509,0.09299999999999997,0.8009999999999999,0.046499999999999986,-3,20,25,-5,10.0,-2.5,-7,80,99,-19,40.0,-9.5,-5,44,52,-8,22.0,-4.0,-1,22,22,0,11.0,0.0,2,8,9,-1,4.0,-0.5,0,33,35,-2,16.5,-1.0,-3,43,45,-2,21.5,-1.0
2,2,3304,WAS,3,2016-11-02,Home,TOR,L,103,113,42,72,0.583,3,10,0.3,16,24,0.667,6,36,21,8,5,20,20,43,77,0.5579999999999999,10,25,0.4,17,25,0.68,4,31,21,16,2,13,24,-10,305,339,-34,101.66666666666667,23.0,-11.333333333333334,-1,120,126,-6,40.0,-2.0,-5,252,253,-1,84.0,-0.3333333333333333,0.025000000000000022,1.451,1.501,-0.04999999999999993,0.4836666666666667,-0.016666666666666646,-7,14,37,-23,4.666666666666667,-7.666666666666667,-15,55,82,-27,18.333333333333332,-9.0,-0.10000000000000003,0.8,1.346,-0.546,0.26666666666666666,-0.18200000000000002,-1,51,50,1,17.0,0.3333333333333333,-1,67,69,-2,22.333333333333332,-0.6666666666666666,-0.013000000000000012,2.269,2.189,0.07999999999999996,0.7563333333333334,0.026666666666666655,2,26,29,-3,8.666666666666666,-1.0,5,116,130,-14,38.666666666666664,-4.666666666666667,0,65,73,-8,21.666666666666668,-2.6666666666666665,-8,30,38,-8,10.0,-2.6666666666666665,3,13,11,2,4.333333333333333,0.6666666666666666,7,53,48,5,17.666666666666668,1.6666666666666667,-4,63,69,-6,21.0,-2.0
3,3,4304,WAS,4,2016-11-04,Home,ATL,W,95,92,31,80,0.38799999999999996,5,20,0.25,28,35,0.8,11,46,13,7,3,19,23,32,83,0.386,5,25,0.2,23,36,0.639,10,47,22,12,3,18,24,3,400,431,-31,100.0,23.25,-7.75,-1,151,158,-7,37.75,-1.75,-3,332,336,-4,83.0,-1.0,0.0019999999999999463,1.839,1.887,-0.04799999999999999,0.45975,-0.011999999999999997,0,19,42,-23,4.75,-5.75,-5,75,107,-32,18.75,-8.0,0.04999999999999999,1.05,1.546,-0.49600000000000005,0.2625,-0.12400000000000001,5,79,73,6,19.75,1.5,-1,102,105,-3,25.5,-0.75,0.16100000000000003,3.069,2.8280000000000003,0.241,0.76725,0.06025,1,37,39,-2,9.25,-0.5,-1,162,177,-15,40.5,-3.75,-9,78,95,-17,19.5,-4.25,-5,37,50,-13,9.25,-3.25,0,16,14,2,4.0,0.5,1,72,66,6,18.0,1.5,-1,86,93,-7,21.5,-1.75
4,4,5304,WAS,5,2016-11-05,Away,ORL,L,86,88,34,86,0.395,6,17,0.353,12,17,0.706,14,49,11,4,5,10,23,31,78,0.397,9,28,0.321,17,27,0.63,10,43,21,4,6,8,16,-2,486,519,-33,97.2,21.8,-6.6,3,185,189,-4,37.0,-0.8,8,418,414,4,83.6,0.8,-0.0020000000000000018,2.234,2.284,-0.04999999999999999,0.4468,-0.009999999999999998,-3,25,51,-26,5.0,-5.2,-11,92,135,-43,18.4,-8.6,0.03199999999999997,1.403,1.867,-0.4640000000000001,0.2806,-0.09280000000000002,-5,91,90,1,18.2,0.2,-10,119,132,-13,23.8,-2.6,0.07599999999999996,3.775,3.458,0.31699999999999995,0.755,0.06339999999999998,4,51,49,2,10.2,0.4,6,211,220,-9,42.2,-1.8,-10,89,116,-27,17.8,-5.4,0,41,54,-13,8.2,-2.6,-1,21,20,1,4.2,0.2,2,82,74,8,16.4,1.6,7,109,109,0,21.8,0.0
5,5,6304,WAS,6,2016-11-07,Home,HOU,L,106,114,39,94,0.415,10,27,0.37,18,20,0.9,16,45,20,12,5,13,16,41,79,0.519,17,37,0.45899999999999996,15,18,0.833,6,37,28,6,7,18,18,-8,592,633,-41,98.66666666666667,21.166666666666668,-6.833333333333333,-2,224,230,-6,37.333333333333336,-1.0,15,512,493,19,85.33333333333333,3.1666666666666665,-0.10400000000000004,2.649,2.803,-0.15400000000000003,0.4415,-0.02566666666666667,-7,35,68,-33,5.833333333333333,-5.5,-10,119,172,-53,19.833333333333332,-8.833333333333334,-0.08899999999999997,1.7730000000000001,2.326,-0.553,0.29550000000000004,-0.09216666666666667,3,109,105,4,18.166666666666668,0.6666666666666666,2,139,150,-11,23.166666666666668,-1.8333333333333333,0.06700000000000006,4.675,4.291,0.384,0.7791666666666667,0.064,10,67,55,12,11.166666666666666,2.0,8,256,257,-1,42.666666666666664,-0.16666666666666666,-8,109,144,-35,18.166666666666668,-5.833333333333333,6,53,60,-7,8.833333333333334,-1.1666666666666667,-2,26,27,-1,4.333333333333333,-0.16666666666666666,-5,95,92,3,15.833333333333334,0.5,-2,125,127,-2,20.833333333333332,-0.3333333333333333
6,6,7304,WAS,7,2016-11-09,Home,BOS,W,118,93,46,92,0.5,10,21,0.47600000000000003,16,20,0.8,19,54,29,9,7,11,26,35,81,0.4320000000000001,10,31,0.32299999999999995,13,22,0.591,7,31,21,5,4,11,19,25,710,726,-16,101.42857142857143,20.857142857142858,-2.2857142857142856,11,270,265,5,38.57142857142857,0.7142857142857143,11,604,574,30,86.28571428571429,4.285714285714286,0.0679999999999999,3.149,3.235,-0.08600000000000013,0.44985714285714284,-0.012285714285714304,0,45,78,-33,6.428571428571429,-4.714285714285714,-10,140,203,-63,20.0,-9.0,0.15300000000000008,2.249,2.649,-0.39999999999999997,0.3212857142857143,-0.05714285714285714,3,125,118,7,17.857142857142858,1.0,-2,159,172,-13,22.714285714285715,-1.8571428571428572,0.20900000000000007,5.475,4.882000000000001,0.5930000000000001,0.7821428571428571,0.08471428571428573,12,86,62,24,12.285714285714286,3.4285714285714284,23,310,288,22,44.285714285714285,3.142857142857143,8,138,165,-27,19.714285714285715,-3.857142857142857,4,62,65,-3,8.857142857142858,-0.42857142857142855,3,33,31,2,4.714285714285714,0.2857142857142857,0,106,103,3,15.142857142857142,0.42857142857142855,7,151,146,5,21.571428571428573,0.7142857142857143
7,7,8108,WAS,8,2016-11-11,Home,CLE,L,94,105,38,87,0.4370000000000001,3,15,0.2,15,19,0.789,10,46,16,7,5,15,21,36,86,0.419,14,33,0.424,19,26,0.731,13,47,16,9,6,15,21,-11,804,831,-27,100.5,20.875,-3.375,2,308,301,7,38.5,0.875,1,691,660,31,86.375,3.875,0.018000000000000127,3.5860000000000003,3.654,-0.068,0.44825000000000004,-0.0085,-11,48,92,-44,6.0,-5.5,-18,155,236,-81,19.375,-10.125,-0.22399999999999998,2.4490000000000003,3.073,-0.6239999999999999,0.30612500000000004,-0.07799999999999999,-4,140,137,3,17.5,0.375,-7,178,198,-20,22.25,-2.5,0.05800000000000005,6.263999999999999,5.613,0.6510000000000001,0.7829999999999999,0.08137500000000002,-3,96,75,21,12.0,2.625,-1,356,335,21,44.5,2.625,0,154,181,-27,19.25,-3.375,-2,69,74,-5,8.625,-0.625,-1,38,37,1,4.75,0.125,0,121,118,3,15.125,0.375,0,172,167,5,21.5,0.625
8,8,989,WAS,9,2016-11-12,Away,CHI,L,95,106,38,91,0.418,4,13,0.308,15,18,0.833,13,49,19,3,7,12,22,39,97,0.402,5,15,0.33299999999999996,23,25,0.92,15,52,21,7,6,10,20,-11,899,937,-38,99.88888888888889,20.77777777777778,-4.222222222222222,-1,346,340,6,38.44444444444444,0.6666666666666666,-6,782,757,25,86.88888888888889,2.7777777777777777,0.01599999999999996,4.0040000000000004,4.056,-0.052000000000000046,0.44488888888888894,-0.005777777777777783,-1,52,97,-45,5.777777777777778,-5.0,-2,168,251,-83,18.666666666666668,-9.222222222222221,-0.024999999999999967,2.757,3.4059999999999997,-0.6489999999999998,0.30633333333333335,-0.07211111111111108,-8,155,160,-5,17.22222222222222,-0.5555555555555556,-7,196,223,-27,21.77777777777778,-3.0,-0.08700000000000008,7.0969999999999995,6.533,0.5640000000000001,0.7885555555555555,0.06266666666666668,-2,109,90,19,12.11111111111111,2.111111111111111,-3,405,387,18,45.0,2.0,-2,173,202,-29,19.22222222222222,-3.2222222222222223,-4,72,81,-9,8.0,-1.0,1,45,43,2,5.0,0.2222222222222222,2,133,128,5,14.777777777777779,0.5555555555555556,2,194,187,7,21.555555555555557,0.7777777777777778
9,9,1089,WAS,10,2016-11-16,Away,PHI,L,102,109,38,91,0.418,8,23,0.348,18,25,0.72,11,40,18,8,1,11,26,42,77,0.545,10,28,0.35700000000000004,15,22,0.682,5,41,30,6,1,17,26,-7,1001,1046,-45,100.1,21.3,-4.5,-4,384,382,2,38.4,0.2,14,873,834,39,87.3,3.9,-0.12700000000000006,4.422000000000001,4.601,-0.1790000000000001,0.44220000000000004,-0.01790000000000001,-2,60,107,-47,6.0,-4.7,-5,191,279,-88,19.1,-8.8,-0.009000000000000064,3.105,3.763,-0.6579999999999999,0.3105,-0.0658,3,173,175,-2,17.3,-0.2,3,221,245,-24,22.1,-2.4,0.03799999999999992,7.816999999999999,7.215000000000001,0.602,0.7817,0.0602,6,120,95,25,12.0,2.5,-1,445,428,17,44.5,1.7,-12,191,232,-41,19.1,-4.1,2,80,87,-7,8.0,-0.7,0,46,44,2,4.6,0.2,-6,144,145,-1,14.4,-0.1,0,220,213,7,22.0,0.7
10,10,11128,WAS,11,2016-11-17,Home,NYK,W,119,112,44,81,0.5429999999999999,15,25,0.6,16,18,0.889,7,37,26,7,2,15,21,41,86,0.47700000000000004,12,29,0.414,18,20,0.9,10,36,23,9,1,13,20,7,1120,1158,-38,101.81818181818181,21.181818181818183,-3.4545454545454546,3,428,423,5,38.90909090909091,0.45454545454545453,-5,954,920,34,86.72727272727273,3.090909090909091,0.06599999999999989,4.965000000000001,5.078,-0.11300000000000021,0.4513636363636364,-0.010272727272727293,3,75,119,-44,6.818181818181818,-4.0,-4,216,308,-92,19.636363636363637,-8.363636363636363,0.186,3.705,4.177,-0.4719999999999999,0.33681818181818185,-0.042909090909090904,-2,189,193,-4,17.181818181818183,-0.36363636363636365,-2,239,265,-26,21.727272727272727,-2.3636363636363638,-0.01100000000000001,8.706,8.115,0.591,0.7914545454545454,0.05372727272727273,-3,127,105,22,11.545454545454545,2.0,1,482,464,18,43.81818181818182,1.6363636363636365,3,217,255,-38,19.727272727272727,-3.4545454545454546,-2,87,96,-9,7.909090909090909,-0.8181818181818182,1,48,45,3,4.363636363636363,0.2727272727272727,2,159,158,1,14.454545454545455,0.09090909090909091,1,241,233,8,21.90909090909091,0.7272727272727273
