,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,date,Points-Differential,FieldGoals-Differential,FieldGoalsAttempted-Differential,FieldGoals.-Differential,3PointShots-Differential,3PointShotsAttempted-Differential,3PointShots.-Differential,FreeThrows-Differential,FreeThrowsAttempted-Differential,FreeThrows.-Differential,OffRebounds-Differential,TotalRebounds-Differential,Assists-Differential,Steals-Differential,Blocks-Differential,Turnovers-Differential,TotalFouls-Differential,cumalitive_Points,cumalitive_Points_differential,cumalitive_FieldGoals,cumalitive_FieldGoals_differential,cumalitive_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted_differential,cumalitive_FieldGoals.,cumalitive_FieldGoals._differential,cumalitive_3PointShots,cumalitive_3PointShots_differential,cumalitive_3PointShotsAttempted,cumalitive_3PointShotsAttempted_differential,cumalitive_3PointShots.,cumalitive_3PointShots._differential,cumalitive_FreeThrows,cumalitive_FreeThrows_differential,cumalitive_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted_differential,cumalitive_FreeThrows.,cumalitive_FreeThrows._differential,cumalitive_OffRebounds,cumalitive_OffRebounds_differential,cumalitive_TotalRebounds,cumalitive_TotalRebounds_differential,cumalitive_Assists,cumalitive_Assists_differential,cumalitive_Steals,cumalitive_Steals_differential,cumalitive_Blocks,cumalitive_Blocks_differential,cumalitive_Turnovers,cumalitive_Turnovers_differential,cumalitive_TotalFouls,cumalitive_TotalFouls_differential
1558,1558,1558,1103,NYK,1,2014-10-29,Home,CHI,L,80,104,31,85,0.365,3,17,0.17600000000000002,15,17,0.882,14,38,19,9,5,11,22,36,71,0.507,7,24,0.292,25,30,0.833,10,47,21,9,4,15,18,2014-10-29,-24,-5,14,-0.14200000000000002,-4,-7,-0.11599999999999995,-10,-13,0.04900000000000005,4,-9,-2,0,1,-4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,1559,1559,2103,NYK,2,2014-10-30,Away,CLE,W,95,90,37,69,0.536,6,12,0.5,15,18,0.833,9,35,30,9,1,15,26,32,70,0.457,9,24,0.375,17,20,0.85,11,33,22,5,2,19,15,2014-10-30,5,5,-1,0.07900000000000001,-3,-12,0.125,-2,-2,-0.017000000000000015,-2,2,8,4,-1,-4,11,80.0,-24.0,31.0,-5.0,85.0,14.0,0.365,-0.14200000000000002,3.0,-4.0,17.0,-7.0,0.17600000000000002,-0.11599999999999995,15.0,-10.0,17.0,-13.0,0.882,0.04900000000000005,14.0,4.0,38.0,-9.0,19.0,-2.0,9.0,0.0,5.0,1.0,11.0,-4.0,22.0,4.0
1560,1560,1560,3103,NYK,3,2014-11-02,Home,CHO,W,96,93,39,78,0.5,8,16,0.5,10,17,0.588,8,35,23,5,0,12,26,33,70,0.47100000000000003,6,15,0.4,21,29,0.7240000000000001,8,38,20,7,2,12,16,2014-11-02,3,6,8,0.029000000000000026,2,1,0.09999999999999998,-11,-12,-0.13600000000000012,0,-3,3,-2,-2,0,10,175.0,-19.0,68.0,0.0,154.0,13.0,0.901,-0.063,9.0,-7.0,29.0,-19.0,0.676,0.00900000000000005,30.0,-12.0,35.0,-15.0,1.7149999999999999,0.032000000000000035,23.0,2.0,73.0,-7.0,49.0,6.0,18.0,4.0,6.0,0.0,26.0,-8.0,48.0,15.0
1561,1561,1561,4103,NYK,4,2014-11-04,Home,WAS,L,83,98,30,81,0.37,8,15,0.5329999999999999,15,19,0.789,15,43,16,5,4,18,23,39,80,0.488,8,18,0.444,12,19,0.632,10,41,26,8,4,12,25,2014-11-04,-15,-9,1,-0.11800000000000001,0,-3,0.08899999999999991,3,0,0.15700000000000006,5,2,-10,-3,0,6,-2,271.0,-16.0,107.0,6.0,232.0,21.0,1.401,-0.033999999999999975,17.0,-5.0,45.0,-18.0,1.1760000000000002,0.10900000000000003,40.0,-23.0,52.0,-27.0,2.303,-0.10400000000000009,31.0,2.0,108.0,-10.0,72.0,9.0,23.0,2.0,6.0,-2.0,38.0,-8.0,74.0,25.0
1562,1562,1562,5103,NYK,5,2014-11-05,Away,DET,L,95,98,39,90,0.433,9,20,0.45,8,10,0.8,11,43,25,3,9,9,23,32,87,0.368,11,23,0.478,23,33,0.6970000000000001,19,55,17,5,4,8,16,2014-11-05,-3,7,3,0.065,-2,-3,-0.02799999999999997,-15,-23,0.10299999999999998,-8,-12,8,-2,5,1,7,354.0,-31.0,137.0,-3.0,313.0,22.0,1.771,-0.15199999999999997,25.0,-5.0,60.0,-21.0,1.709,0.19799999999999995,55.0,-20.0,71.0,-27.0,3.092,0.052999999999999964,46.0,7.0,151.0,-8.0,88.0,-1.0,28.0,-1.0,10.0,-2.0,56.0,-2.0,97.0,23.0
1563,1563,1563,6103,NYK,6,2014-11-07,Away,BRK,L,99,110,37,90,0.41100000000000003,8,19,0.42100000000000004,17,21,0.81,15,43,22,7,2,14,24,38,74,0.514,14,24,0.583,20,26,0.769,7,42,18,6,6,16,24,2014-11-07,-11,-1,16,-0.10300000000000004,-6,-5,-0.16199999999999998,-3,-5,0.041000000000000036,8,1,4,1,-4,-2,0,449.0,-34.0,176.0,4.0,403.0,25.0,2.2039999999999997,-0.08699999999999997,34.0,-7.0,80.0,-24.0,2.1590000000000003,0.16999999999999998,63.0,-35.0,81.0,-50.0,3.8920000000000003,0.15599999999999994,57.0,-1.0,194.0,-20.0,113.0,7.0,31.0,-3.0,19.0,3.0,65.0,-1.0,120.0,30.0
1564,1564,1564,7103,NYK,7,2014-11-08,Away,ATL,L,96,103,40,84,0.47600000000000003,8,21,0.381,8,11,0.727,13,44,26,2,6,15,29,33,81,0.40700000000000003,9,22,0.409,28,36,0.778,12,41,18,10,5,8,17,2014-11-08,-7,7,3,0.069,-1,-1,-0.02799999999999997,-20,-25,-0.05100000000000005,1,3,8,-8,1,7,12,548.0,-45.0,213.0,3.0,493.0,41.0,2.6149999999999998,-0.19,42.0,-13.0,99.0,-29.0,2.58,0.008000000000000007,80.0,-38.0,102.0,-55.0,4.702,0.19699999999999998,72.0,7.0,237.0,-19.0,135.0,11.0,38.0,-2.0,21.0,-1.0,79.0,-3.0,144.0,30.0
1565,1565,1565,838,NYK,8,2014-11-10,Home,ATL,L,85,91,36,83,0.434,6,26,0.231,7,12,0.583,11,40,23,4,2,15,26,27,71,0.38,10,27,0.37,27,28,0.9640000000000001,9,38,20,7,3,15,16,2014-11-10,-6,9,12,0.053999999999999986,-4,-1,-0.13899999999999998,-20,-16,-0.381,2,2,3,-3,-1,0,10,644.0,-52.0,253.0,10.0,577.0,44.0,3.0909999999999997,-0.121,50.0,-14.0,120.0,-30.0,2.9610000000000003,-0.019999999999999962,88.0,-58.0,113.0,-80.0,5.429,0.14599999999999994,85.0,8.0,281.0,-16.0,161.0,19.0,40.0,-10.0,27.0,0.0,94.0,4.0,173.0,42.0
1566,1566,1566,919,NYK,9,2014-11-12,Home,ORL,L,95,97,37,86,0.43,8,23,0.348,13,14,0.929,11,40,17,2,6,7,27,33,70,0.47100000000000003,6,12,0.5,25,32,0.7809999999999999,4,37,20,4,1,10,19,2014-11-12,-2,4,16,-0.04099999999999998,2,11,-0.15200000000000002,-12,-18,0.14800000000000013,7,3,-3,-2,5,-3,8,729.0,-58.0,289.0,19.0,660.0,56.0,3.525,-0.067,56.0,-18.0,146.0,-31.0,3.192,-0.15899999999999995,95.0,-78.0,125.0,-96.0,6.0120000000000005,-0.23500000000000007,96.0,10.0,321.0,-14.0,184.0,22.0,44.0,-13.0,29.0,-1.0,109.0,4.0,199.0,52.0
1567,1567,1567,1019,NYK,10,2014-11-14,Home,UTA,L,100,102,39,82,0.47600000000000003,5,8,0.625,17,20,0.85,7,31,15,12,1,8,26,36,70,0.514,10,22,0.455,20,25,0.8,11,39,25,6,8,18,20,2014-11-14,-2,3,12,-0.038000000000000034,-5,-14,0.16999999999999998,-3,-5,0.04999999999999993,-4,-8,-10,6,-7,-10,6,824.0,-60.0,326.0,23.0,746.0,72.0,3.955,-0.10799999999999998,64.0,-16.0,169.0,-20.0,3.54,-0.31099999999999994,108.0,-90.0,139.0,-114.0,6.941000000000001,-0.08699999999999994,107.0,17.0,361.0,-11.0,201.0,19.0,46.0,-15.0,35.0,4.0,116.0,1.0,226.0,60.0
1568,1568,1568,1123,NYK,11,2014-11-16,Home,DEN,W,109,93,41,76,0.539,6,14,0.429,21,27,0.778,8,43,16,9,3,15,22,32,82,0.39,13,34,0.382,16,26,0.615,10,39,20,9,0,17,21,2014-11-16,16,9,-6,0.14900000000000002,-7,-20,0.04699999999999999,5,1,0.16300000000000006,-2,4,-4,0,3,-2,1,924.0,-62.0,365.0,26.0,828.0,84.0,4.431,-0.14600000000000002,69.0,-21.0,177.0,-34.0,4.165,-0.14099999999999996,125.0,-93.0,159.0,-119.0,7.791,-0.037000000000000005,114.0,13.0,392.0,-19.0,216.0,9.0,58.0,-9.0,36.0,-3.0,124.0,-9.0,252.0,66.0
1569,1569,1569,1221,NYK,12,2014-11-18,Away,MIL,L,113,117,44,80,0.55,11,25,0.44,14,19,0.737,11,28,30,9,3,12,22,43,78,0.551,9,17,0.529,22,27,0.815,17,44,30,5,0,16,24,2014-11-18,-4,1,2,-0.0010000000000000009,2,8,-0.08900000000000002,-8,-8,-0.07799999999999996,-6,-16,0,4,3,-4,-2,1033.0,-46.0,406.0,35.0,904.0,78.0,4.97,0.0030000000000000027,75.0,-28.0,191.0,-54.0,4.594,-0.09399999999999997,146.0,-88.0,186.0,-118.0,8.569,0.12600000000000006,122.0,11.0,435.0,-15.0,232.0,5.0,67.0,-9.0,39.0,0.0,139.0,-11.0,274.0,67.0
1570,1570,1570,1319,NYK,13,2014-11-19,Away,MIN,L,99,115,34,69,0.493,9,16,0.563,22,28,0.7859999999999999,8,33,19,6,3,22,22,44,89,0.494,11,22,0.5,16,22,0.727,15,35,26,15,2,14,23,2014-11-19,-16,-10,-20,-0.0010000000000000009,-2,-6,0.06299999999999993,6,6,0.058999999999999934,-7,-2,-7,-9,1,8,-1,1146.0,-50.0,450.0,36.0,984.0,80.0,5.52,0.0020000000000000018,86.0,-26.0,216.0,-46.0,5.034000000000001,-0.183,160.0,-96.0,205.0,-126.0,9.306000000000001,0.0480000000000001,133.0,5.0,463.0,-31.0,262.0,5.0,76.0,-5.0,42.0,3.0,151.0,-15.0,296.0,65.0
1571,1571,1571,1419,NYK,14,2014-11-22,Home,PHI,W,91,83,33,66,0.5,6,17,0.353,19,21,0.905,6,40,15,7,2,18,22,30,75,0.4,8,26,0.308,15,25,0.6,10,36,13,8,1,18,21,2014-11-22,8,3,-9,0.09999999999999998,-2,-9,0.044999999999999984,4,-4,0.30500000000000005,-4,4,2,-1,1,0,1,1245.0,-66.0,484.0,26.0,1053.0,60.0,6.013,0.0010000000000000009,95.0,-28.0,232.0,-52.0,5.597,-0.12000000000000006,182.0,-90.0,233.0,-120.0,10.092,0.10700000000000004,141.0,-2.0,496.0,-33.0,281.0,-2.0,82.0,-14.0,45.0,4.0,173.0,-7.0,318.0,64.0
1572,1572,1572,1519,NYK,15,2014-11-24,Away,HOU,L,86,91,35,76,0.461,6,22,0.273,10,15,0.667,9,40,25,8,5,17,20,32,76,0.42100000000000004,14,36,0.389,13,19,0.684,10,38,19,13,4,16,19,2014-11-24,-5,3,0,0.040000000000000036,-8,-14,-0.116,-3,-4,-0.017000000000000015,-1,2,6,-5,1,1,1,1336.0,-58.0,517.0,29.0,1119.0,51.0,6.513,0.10099999999999998,101.0,-30.0,249.0,-61.0,5.95,-0.07500000000000008,201.0,-86.0,254.0,-124.0,10.997,0.4120000000000001,147.0,-6.0,536.0,-29.0,296.0,0.0,89.0,-15.0,47.0,5.0,191.0,-7.0,340.0,65.0
1573,1573,1573,1619,NYK,16,2014-11-26,Away,DAL,L,102,109,39,92,0.424,14,28,0.5,10,16,0.625,15,53,21,7,3,21,32,38,95,0.4,4,31,0.129,29,38,0.763,20,56,20,12,5,11,16,2014-11-26,-7,1,-3,0.02399999999999997,10,-3,0.371,-19,-22,-0.138,-5,-3,1,-5,-2,10,16,1422.0,-63.0,552.0,32.0,1195.0,51.0,6.974,0.14100000000000001,107.0,-38.0,271.0,-75.0,6.223,-0.1910000000000001,211.0,-89.0,269.0,-128.0,11.664,0.3950000000000001,156.0,-7.0,576.0,-27.0,321.0,6.0,97.0,-20.0,52.0,6.0,208.0,-6.0,360.0,66.0
1574,1574,1574,1719,NYK,17,2014-11-28,Away,OKC,L,78,105,29,75,0.387,2,19,0.105,18,24,0.75,7,33,17,3,6,12,22,38,86,0.442,10,24,0.41700000000000004,19,23,0.826,18,57,20,9,0,14,30,2014-11-28,-27,-9,-11,-0.054999999999999986,-8,-5,-0.312,-1,1,-0.07599999999999996,-11,-24,-3,-6,6,-2,-8,1524.0,-70.0,591.0,33.0,1287.0,48.0,7.398000000000001,0.16499999999999998,121.0,-28.0,299.0,-78.0,6.723,0.1799999999999999,221.0,-108.0,285.0,-150.0,12.289,0.25700000000000006,171.0,-12.0,629.0,-30.0,342.0,7.0,104.0,-25.0,55.0,4.0,229.0,4.0,392.0,82.0
