,Unnamed: 0,Unnamed: 0.1.1.1.1.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,differential_Points,cumalitive_Points,cumalitive_Opp.Points,cumalitive_differential_Points,average_Points,average_Opp.{},average_Points_differential,differential_FieldGoals,cumalitive_FieldGoals,cumalitive_Opp.FieldGoals,cumalitive_differential_FieldGoals,average_FieldGoals,average_FieldGoals_differential,differential_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted,cumalitive_Opp.FieldGoalsAttempted,cumalitive_differential_FieldGoalsAttempted,average_FieldGoalsAttempted,average_FieldGoalsAttempted_differential,differential_FieldGoals.,cumalitive_FieldGoals.,cumalitive_Opp.FieldGoals.,cumalitive_differential_FieldGoals.,average_FieldGoals.,average_FieldGoals._differential,differential_3PointShots,cumalitive_3PointShots,cumalitive_Opp.3PointShots,cumalitive_differential_3PointShots,average_3PointShots,average_3PointShots_differential,differential_3PointShotsAttempted,cumalitive_3PointShotsAttempted,cumalitive_Opp.3PointShotsAttempted,cumalitive_differential_3PointShotsAttempted,average_3PointShotsAttempted,average_3PointShotsAttempted_differential,differential_3PointShots.,cumalitive_3PointShots.,cumalitive_Opp.3PointShots.,cumalitive_differential_3PointShots.,average_3PointShots.,average_3PointShots._differential,differential_FreeThrows,cumalitive_FreeThrows,cumalitive_Opp.FreeThrows,cumalitive_differential_FreeThrows,average_FreeThrows,average_FreeThrows_differential,differential_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted,cumalitive_Opp.FreeThrowsAttempted,cumalitive_differential_FreeThrowsAttempted,average_FreeThrowsAttempted,average_FreeThrowsAttempted_differential,differential_FreeThrows.,cumalitive_FreeThrows.,cumalitive_Opp.FreeThrows.,cumalitive_differential_FreeThrows.,average_FreeThrows.,average_FreeThrows._differential,differential_OffRebounds,cumalitive_OffRebounds,cumalitive_Opp.OffRebounds,cumalitive_differential_OffRebounds,average_OffRebounds,average_OffRebounds_differential,differential_TotalRebounds,cumalitive_TotalRebounds,cumalitive_Opp.TotalRebounds,cumalitive_differential_TotalRebounds,average_TotalRebounds,average_TotalRebounds_differential,differential_Assists,cumalitive_Assists,cumalitive_Opp.Assists,cumalitive_differential_Assists,average_Assists,average_Assists_differential,differential_Steals,cumalitive_Steals,cumalitive_Opp.Steals,cumalitive_differential_Steals,average_Steals,average_Steals_differential,differential_Blocks,cumalitive_Blocks,cumalitive_Opp.Blocks,cumalitive_differential_Blocks,average_Blocks,average_Blocks_differential,differential_Turnovers,cumalitive_Turnovers,cumalitive_Opp.Turnovers,cumalitive_differential_Turnovers,average_Turnovers,average_Turnovers_differential,differential_TotalFouls,cumalitive_TotalFouls,cumalitive_Opp.TotalFouls,cumalitive_differential_TotalFouls,average_TotalFouls,average_TotalFouls_differential
0,0,1306,BOS,1,2017-10-17,Away,CLE,L,99,102,36,88,0.409,8,32,0.25,19,25,0.76,9,46,24,11,4,10,24,38,83,0.45799999999999996,5,22,0.22699999999999998,21,25,0.84,9,50,19,3,4,17,25,-3,99,102,-3,99.0,25.0,-3.0,-2,36,38,-2,36.0,-2.0,5,88,83,5,88.0,5.0,-0.04899999999999999,0.409,0.45799999999999996,-0.04899999999999999,0.409,-0.04899999999999999,3,8,5,3,8.0,3.0,10,32,22,10,32.0,10.0,0.02300000000000002,0.25,0.22699999999999998,0.02300000000000002,0.25,0.02300000000000002,-2,19,21,-2,19.0,-2.0,0,25,25,0,25.0,0.0,-0.07999999999999996,0.76,0.84,-0.07999999999999996,0.76,-0.07999999999999996,0,9,9,0,9.0,0.0,-4,46,50,-4,46.0,-4.0,5,24,19,5,24.0,5.0,8,11,3,8,11.0,8.0,0,4,4,0,4.0,0.0,-7,10,17,-7,10.0,-7.0,-1,24,25,-1,24.0,-1.0
1,1,2306,BOS,2,2017-10-18,Home,MIL,L,100,108,39,91,0.429,11,28,0.39299999999999996,11,21,0.524,11,43,23,12,2,12,27,38,76,0.5,7,21,0.33299999999999996,25,30,0.833,6,45,19,6,4,15,22,-8,199,210,-11,99.5,23.5,-5.5,1,75,76,-1,37.5,-0.5,15,179,159,20,89.5,10.0,-0.07100000000000001,0.838,0.958,-0.12,0.419,-0.06,4,19,12,7,9.5,3.5,7,60,43,17,30.0,8.5,0.06,0.643,0.5599999999999999,0.08300000000000002,0.3215,0.04150000000000001,-14,30,46,-16,15.0,-8.0,-9,46,55,-9,23.0,-4.5,-0.30899999999999994,1.284,1.673,-0.3889999999999999,0.642,-0.19449999999999995,5,20,15,5,10.0,2.5,-2,89,95,-6,44.5,-3.0,4,47,38,9,23.5,4.5,6,23,9,14,11.5,7.0,-2,6,8,-2,3.0,-1.0,-3,22,32,-10,11.0,-5.0,5,51,47,4,25.5,2.0
2,2,3306,BOS,3,2017-10-20,Away,PHI,W,102,92,35,84,0.41700000000000004,10,29,0.345,22,32,0.688,14,55,16,4,5,19,24,35,92,0.38,10,32,0.313,12,16,0.75,14,47,20,7,4,16,30,10,301,302,-1,100.33333333333333,25.666666666666668,-0.3333333333333333,0,110,111,-1,36.666666666666664,-0.3333333333333333,-8,263,251,12,87.66666666666667,4.0,0.03700000000000003,1.255,1.338,-0.08299999999999996,0.4183333333333333,-0.027666666666666655,0,29,22,7,9.666666666666666,2.3333333333333335,-3,89,75,14,29.666666666666668,4.666666666666667,0.03199999999999997,0.988,0.873,0.11499999999999999,0.3293333333333333,0.03833333333333333,10,52,58,-6,17.333333333333332,-2.0,16,78,71,7,26.0,2.3333333333333335,-0.062000000000000055,1.972,2.423,-0.45099999999999996,0.6573333333333333,-0.15033333333333332,0,34,29,5,11.333333333333334,1.6666666666666667,8,144,142,2,48.0,0.6666666666666666,-4,63,58,5,21.0,1.6666666666666667,-3,27,16,11,9.0,3.6666666666666665,1,11,12,-1,3.6666666666666665,-0.3333333333333333,3,41,48,-7,13.666666666666666,-2.3333333333333335,-6,75,77,-2,25.0,-0.6666666666666666
3,3,4306,BOS,4,2017-10-24,Home,NYK,W,110,89,37,75,0.493,14,29,0.483,22,27,0.815,5,41,26,11,7,12,24,36,85,0.424,1,12,0.083,16,25,0.64,11,43,20,8,2,14,17,21,411,391,20,102.75,23.5,5.0,1,147,147,0,36.75,0.0,-10,338,336,2,84.5,0.5,0.069,1.7479999999999998,1.762,-0.013999999999999957,0.43699999999999994,-0.0034999999999999892,13,43,23,20,10.75,5.0,17,118,87,31,29.5,7.75,0.39999999999999997,1.471,0.956,0.5149999999999999,0.36775,0.12874999999999998,6,74,74,0,18.5,0.0,2,105,96,9,26.25,2.25,0.17499999999999993,2.787,3.063,-0.276,0.69675,-0.069,-6,39,40,-1,9.75,-0.25,-2,185,185,0,46.25,0.0,6,89,78,11,22.25,2.75,3,38,24,14,9.5,3.5,5,18,14,4,4.5,1.0,-2,53,62,-9,13.25,-2.25,7,99,94,5,24.75,1.25
4,4,5306,BOS,5,2017-10-26,Away,MIL,W,96,89,33,78,0.423,11,30,0.3670000000000001,19,22,0.8640000000000001,6,45,21,7,4,15,14,35,77,0.455,11,25,0.44,8,14,0.5710000000000001,2,37,22,6,3,16,20,7,507,480,27,101.4,22.8,5.4,-2,180,182,-2,36.0,-0.4,1,416,413,3,83.2,0.6,-0.03200000000000003,2.171,2.217,-0.045999999999999985,0.4342,-0.009199999999999996,0,54,34,20,10.8,4.0,5,148,112,36,29.6,7.2,-0.0729999999999999,1.838,1.396,0.442,0.36760000000000004,0.0884,11,93,82,11,18.6,2.2,8,127,110,17,25.4,3.4,0.29300000000000004,3.651,3.6340000000000003,0.017000000000000015,0.7302,0.003400000000000003,4,45,42,3,9.0,0.6,8,230,222,8,46.0,1.6,-1,110,100,10,22.0,2.0,1,45,30,15,9.0,3.0,1,22,17,5,4.4,1.0,-1,68,78,-10,13.6,-2.0,-6,113,114,-1,22.6,-0.2
5,5,6306,BOS,6,2017-10-28,Away,MIA,W,96,90,34,81,0.42,6,23,0.261,22,26,0.846,11,41,15,11,5,12,14,34,79,0.43,7,31,0.226,15,16,0.938,6,40,17,6,9,19,23,6,603,570,33,100.5,22.833333333333332,5.5,0,214,216,-2,35.666666666666664,-0.3333333333333333,2,497,492,5,82.83333333333333,0.8333333333333334,-0.010000000000000009,2.5909999999999997,2.6470000000000002,-0.055999999999999994,0.4318333333333333,-0.009333333333333332,-1,60,41,19,10.0,3.1666666666666665,-8,171,143,28,28.5,4.666666666666667,0.035,2.099,1.6219999999999999,0.477,0.3498333333333334,0.0795,7,115,97,18,19.166666666666668,3.0,10,153,126,27,25.5,4.5,-0.09199999999999997,4.497,4.572,-0.07499999999999996,0.7494999999999999,-0.012499999999999992,5,56,48,8,9.333333333333334,1.3333333333333333,1,271,262,9,45.166666666666664,1.5,-2,125,117,8,20.833333333333332,1.3333333333333333,5,56,36,20,9.333333333333334,3.3333333333333335,-4,27,26,1,4.5,0.16666666666666666,-7,80,97,-17,13.333333333333334,-2.8333333333333335,-9,127,137,-10,21.166666666666668,-1.6666666666666667
6,6,7306,BOS,7,2017-10-30,Home,SAS,W,108,94,42,88,0.47700000000000004,11,31,0.355,13,16,0.813,15,54,24,10,6,13,22,36,87,0.414,12,26,0.462,10,20,0.5,12,40,24,8,4,11,14,14,711,664,47,101.57142857142857,21.571428571428573,6.714285714285714,6,256,252,4,36.57142857142857,0.5714285714285714,1,585,579,6,83.57142857142857,0.8571428571428571,0.06300000000000006,3.0679999999999996,3.0610000000000004,0.007000000000000062,0.4382857142857142,0.001000000000000009,-1,71,53,18,10.142857142857142,2.5714285714285716,5,202,169,33,28.857142857142858,4.714285714285714,-0.10700000000000004,2.454,2.084,0.36999999999999994,0.3505714285714286,0.052857142857142846,3,128,107,21,18.285714285714285,3.0,-4,169,146,23,24.142857142857142,3.2857142857142856,0.31299999999999994,5.31,5.072,0.238,0.7585714285714286,0.033999999999999996,3,71,60,11,10.142857142857142,1.5714285714285714,14,325,302,23,46.42857142857143,3.2857142857142856,0,149,141,8,21.285714285714285,1.1428571428571428,2,66,44,22,9.428571428571429,3.142857142857143,2,33,30,3,4.714285714285714,0.42857142857142855,2,93,108,-15,13.285714285714286,-2.142857142857143,8,149,151,-2,21.285714285714285,-0.2857142857142857
7,7,8192,BOS,8,2017-11-01,Home,SAC,W,113,86,40,82,0.488,17,41,0.415,16,19,0.8420000000000001,16,52,30,10,3,16,19,35,81,0.4320000000000001,6,20,0.3,10,12,0.833,7,26,24,10,5,15,18,27,824,750,74,103.0,21.125,9.25,5,296,287,9,37.0,1.125,1,667,660,7,83.375,0.875,0.05599999999999988,3.5559999999999996,3.4930000000000003,0.06299999999999994,0.44449999999999995,0.007874999999999993,11,88,59,29,11.0,3.625,21,243,189,54,30.375,6.75,0.11499999999999999,2.869,2.384,0.48499999999999993,0.358625,0.06062499999999999,6,144,117,27,18.0,3.375,7,188,158,30,23.5,3.75,0.009000000000000119,6.151999999999999,5.905,0.2470000000000001,0.7689999999999999,0.030875000000000014,9,87,67,20,10.875,2.5,26,377,328,49,47.125,6.125,6,179,165,14,22.375,1.75,0,76,54,22,9.5,2.75,-2,36,35,1,4.5,0.125,1,109,123,-14,13.625,-1.75,1,168,169,-1,21.0,-0.125
8,8,991,BOS,9,2017-11-03,Away,OKC,W,101,94,36,84,0.429,13,28,0.46399999999999997,16,24,0.667,11,49,23,6,2,10,14,35,87,0.402,13,35,0.371,11,14,0.7859999999999999,11,48,20,4,7,12,18,7,925,844,81,102.77777777777777,20.77777777777778,9.0,1,332,322,10,36.888888888888886,1.1111111111111112,-3,751,747,4,83.44444444444444,0.4444444444444444,0.02699999999999997,3.9849999999999994,3.8950000000000005,0.08999999999999991,0.4427777777777777,0.00999999999999999,0,101,72,29,11.222222222222221,3.2222222222222223,-7,271,224,47,30.11111111111111,5.222222222222222,0.09299999999999997,3.333,2.755,0.5779999999999998,0.37033333333333335,0.06422222222222221,5,160,128,32,17.77777777777778,3.5555555555555554,10,212,172,40,23.555555555555557,4.444444444444445,-0.11899999999999988,6.818999999999999,6.691,0.12800000000000022,0.7576666666666666,0.014222222222222247,0,98,78,20,10.88888888888889,2.2222222222222223,1,426,376,50,47.333333333333336,5.555555555555555,3,202,185,17,22.444444444444443,1.8888888888888888,2,82,58,24,9.11111111111111,2.6666666666666665,-5,38,42,-4,4.222222222222222,-0.4444444444444444,-2,119,135,-16,13.222222222222221,-1.7777777777777777,-4,182,187,-5,20.22222222222222,-0.5555555555555556
9,9,1091,BOS,10,2017-11-05,Away,ORL,W,104,88,39,89,0.43799999999999994,11,33,0.33299999999999996,15,20,0.75,9,54,26,10,1,13,21,33,91,0.363,6,29,0.207,16,18,0.889,10,45,18,4,4,13,19,16,1029,932,97,102.9,20.6,9.7,6,371,355,16,37.1,1.6,-2,840,838,2,84.0,0.2,0.07499999999999996,4.422999999999999,4.258000000000001,0.16499999999999987,0.4422999999999999,0.016499999999999987,5,112,78,34,11.2,3.4,4,304,253,51,30.4,5.1,0.12599999999999997,3.6660000000000004,2.9619999999999997,0.7039999999999998,0.36660000000000004,0.07039999999999999,-1,175,144,31,17.5,3.1,2,232,190,42,23.2,4.2,-0.139,7.568999999999999,7.58,-0.010999999999999788,0.7568999999999999,-0.0010999999999999788,-1,107,88,19,10.7,1.9,9,480,421,59,48.0,5.9,8,228,203,25,22.8,2.5,6,92,62,30,9.2,3.0,-3,39,46,-7,3.9,-0.7,0,132,148,-16,13.2,-1.6,2,203,206,-3,20.3,-0.3
10,10,11130,BOS,11,2017-11-06,Away,ATL,W,110,107,39,81,0.48100000000000004,14,36,0.389,18,22,0.818,7,42,28,3,3,13,21,39,81,0.48100000000000004,13,26,0.5,16,20,0.8,5,36,24,8,4,14,22,3,1139,1039,100,103.54545454545455,20.727272727272727,9.090909090909092,0,410,394,16,37.27272727272727,1.4545454545454546,0,921,919,2,83.72727272727273,0.18181818181818182,0.0,4.903999999999999,4.739000000000001,0.16499999999999987,0.4458181818181817,0.014999999999999987,1,126,91,35,11.454545454545455,3.1818181818181817,10,340,279,61,30.90909090909091,5.545454545454546,-0.11099999999999999,4.055000000000001,3.4619999999999997,0.5929999999999999,0.3686363636363637,0.0539090909090909,2,193,160,33,17.545454545454547,3.0,2,254,210,44,23.09090909090909,4.0,0.017999999999999905,8.386999999999999,8.38,0.007000000000000117,0.7624545454545454,0.000636363636363647,2,114,93,21,10.363636363636363,1.9090909090909092,6,522,457,65,47.45454545454545,5.909090909090909,4,256,227,29,23.272727272727273,2.6363636363636362,-5,95,70,25,8.636363636363637,2.272727272727273,-1,42,50,-8,3.8181818181818183,-0.7272727272727273,-1,145,162,-17,13.181818181818182,-1.5454545454545454,-1,224,228,-4,20.363636363636363,-0.36363636363636365
