,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,date,Points-Differential,FieldGoals-Differential,FieldGoalsAttempted-Differential,FieldGoals.-Differential,3PointShots-Differential,3PointShotsAttempted-Differential,3PointShots.-Differential,FreeThrows-Differential,FreeThrowsAttempted-Differential,FreeThrows.-Differential,OffRebounds-Differential,TotalRebounds-Differential,Assists-Differential,Steals-Differential,Blocks-Differential,Turnovers-Differential,TotalFouls-Differential,cumalitive_Points,cumalitive_Points_differential,cumalitive_FieldGoals,cumalitive_FieldGoals_differential,cumalitive_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted_differential,cumalitive_FieldGoals.,cumalitive_FieldGoals._differential,cumalitive_3PointShots,cumalitive_3PointShots_differential,cumalitive_3PointShotsAttempted,cumalitive_3PointShotsAttempted_differential,cumalitive_3PointShots.,cumalitive_3PointShots._differential,cumalitive_FreeThrows,cumalitive_FreeThrows_differential,cumalitive_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted_differential,cumalitive_FreeThrows.,cumalitive_FreeThrows._differential,cumalitive_OffRebounds,cumalitive_OffRebounds_differential,cumalitive_TotalRebounds,cumalitive_TotalRebounds_differential,cumalitive_Assists,cumalitive_Assists_differential,cumalitive_Steals,cumalitive_Steals_differential,cumalitive_Blocks,cumalitive_Blocks_differential,cumalitive_Turnovers,cumalitive_Turnovers_differential,cumalitive_TotalFouls,cumalitive_TotalFouls_differential
656,656,3116,1154,DET,1,2015-10-27,Away,ATL,W,106,94,37,96,0.385,12,29,0.414,20,26,0.769,23,59,23,5,3,15,15,37,82,0.451,8,27,0.29600000000000004,12,15,0.8,7,40,22,9,4,15,25,2015-10-27,12,0,14,-0.066,4,2,0.11799999999999995,8,11,-0.031000000000000024,16,19,1,-4,-1,0,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,657,3117,2154,DET,2,2015-10-28,Home,UTA,W,92,87,30,74,0.405,7,19,0.368,25,34,0.735,8,43,16,2,4,10,20,35,75,0.467,2,12,0.16699999999999998,15,21,0.7140000000000001,4,38,15,4,5,12,25,2015-10-28,5,-5,-1,-0.062,5,7,0.201,10,13,0.02099999999999991,4,5,1,-2,-1,-2,-5,106.0,12.0,37.0,0.0,96.0,14.0,0.385,-0.066,12.0,4.0,29.0,2.0,0.414,0.11799999999999995,20.0,8.0,26.0,11.0,0.769,-0.031000000000000024,23.0,16.0,59.0,19.0,23.0,1.0,5.0,-4.0,3.0,-1.0,15.0,0.0,15.0,-10.0
658,658,3118,3154,DET,3,2015-10-30,Home,CHI,W,98,94,39,104,0.375,6,28,0.214,14,28,0.5,20,61,18,9,2,14,19,34,84,0.405,7,22,0.318,19,26,0.731,8,50,18,8,8,19,24,2015-10-30,4,5,20,-0.030000000000000027,-1,6,-0.104,-5,2,-0.231,12,11,0,1,-6,-5,-5,198.0,17.0,67.0,-5.0,170.0,13.0,0.79,-0.128,19.0,9.0,48.0,9.0,0.782,0.31899999999999995,45.0,18.0,60.0,24.0,1.504,-0.010000000000000113,31.0,20.0,102.0,24.0,39.0,2.0,7.0,-6.0,7.0,-2.0,25.0,-2.0,35.0,-15.0
659,659,3119,4154,DET,4,2015-11-03,Home,IND,L,82,94,33,86,0.384,5,22,0.22699999999999998,11,17,0.647,19,50,14,8,5,23,21,38,88,0.4320000000000001,7,23,0.304,11,12,0.917,12,42,21,15,5,15,19,2015-11-03,-12,-5,-2,-0.0480000000000001,-2,-1,-0.07699999999999999,0,5,-0.27,7,8,-7,-7,0,8,2,296.0,21.0,106.0,0.0,274.0,33.0,1.165,-0.15800000000000003,25.0,8.0,76.0,15.0,0.996,0.21499999999999997,59.0,13.0,88.0,26.0,2.004,-0.24100000000000013,51.0,32.0,163.0,35.0,57.0,2.0,16.0,-5.0,9.0,-8.0,39.0,-7.0,54.0,-20.0
660,660,3120,5154,DET,5,2015-11-06,Away,PHO,W,100,92,37,74,0.5,8,22,0.364,18,36,0.5,6,47,15,8,3,15,21,37,92,0.402,10,30,0.33299999999999996,8,13,0.615,11,46,14,8,3,16,29,2015-11-06,8,0,-18,0.09799999999999998,-2,-8,0.03099999999999997,10,23,-0.115,-5,1,1,0,0,-1,-8,378.0,9.0,139.0,-5.0,360.0,31.0,1.549,-0.20600000000000013,30.0,6.0,98.0,14.0,1.2229999999999999,0.13799999999999998,70.0,13.0,105.0,31.0,2.651,-0.5110000000000001,70.0,39.0,213.0,43.0,71.0,-5.0,24.0,-12.0,14.0,-8.0,62.0,1.0,75.0,-18.0
661,661,3121,6154,DET,6,2015-11-08,Away,POR,W,120,103,47,96,0.49,11,30,0.3670000000000001,15,22,0.682,18,46,16,13,5,9,16,41,76,0.539,9,25,0.36,12,18,0.667,7,40,24,5,2,22,22,2015-11-08,17,6,20,-0.04900000000000005,2,5,0.007000000000000117,3,4,0.015000000000000013,11,6,-8,8,3,-13,-6,478.0,17.0,176.0,-5.0,434.0,13.0,2.049,-0.10800000000000015,38.0,4.0,120.0,6.0,1.5869999999999997,0.16899999999999996,88.0,23.0,141.0,54.0,3.151,-0.6260000000000001,76.0,34.0,260.0,44.0,86.0,-4.0,32.0,-12.0,17.0,-8.0,77.0,0.0,96.0,-26.0
662,662,3122,7154,DET,7,2015-11-09,Away,GSW,L,95,109,40,85,0.47100000000000003,6,19,0.316,9,15,0.6,12,41,15,9,3,20,14,43,91,0.473,12,21,0.5710000000000001,11,13,0.846,13,41,29,13,4,16,18,2015-11-09,-14,-3,-6,-0.0020000000000000018,-6,-2,-0.2550000000000001,-2,2,-0.24600000000000002,-1,0,-14,-4,-1,4,-4,598.0,34.0,223.0,1.0,530.0,33.0,2.5389999999999997,-0.1570000000000002,49.0,6.0,150.0,11.0,1.9539999999999997,0.17600000000000007,103.0,26.0,163.0,58.0,3.8329999999999997,-0.6110000000000001,94.0,45.0,306.0,50.0,102.0,-12.0,45.0,-4.0,22.0,-5.0,86.0,-13.0,112.0,-32.0
663,663,3123,857,DET,8,2015-11-11,Away,SAC,L,92,101,34,89,0.382,9,32,0.281,15,20,0.75,14,45,16,10,3,16,20,37,74,0.5,9,16,0.563,18,24,0.75,7,46,20,7,2,18,20,2015-11-11,-9,-3,15,-0.11800000000000001,0,16,-0.2819999999999999,-3,-4,0.0,7,-1,-4,3,1,-2,0,693.0,20.0,263.0,-2.0,615.0,27.0,3.01,-0.1590000000000002,55.0,0.0,169.0,9.0,2.2699999999999996,-0.07900000000000004,112.0,24.0,178.0,60.0,4.433,-0.8570000000000001,106.0,44.0,347.0,50.0,117.0,-26.0,54.0,-8.0,25.0,-6.0,106.0,-9.0,126.0,-36.0
664,664,3124,938,DET,9,2015-11-14,Away,LAC,L,96,101,33,74,0.446,7,27,0.259,23,35,0.657,11,42,15,8,2,15,23,37,79,0.46799999999999997,7,19,0.368,20,26,0.769,11,42,23,6,4,13,23,2015-11-14,-5,-4,-5,-0.02200000000000002,0,8,-0.109,3,9,-0.112,0,0,-8,2,-2,2,0,785.0,11.0,297.0,-5.0,704.0,42.0,3.392,-0.2770000000000002,64.0,0.0,201.0,25.0,2.5509999999999997,-0.361,127.0,21.0,198.0,56.0,5.183,-0.8570000000000001,120.0,51.0,392.0,49.0,133.0,-30.0,64.0,-5.0,28.0,-5.0,122.0,-11.0,146.0,-36.0
665,665,3125,1038,DET,10,2015-11-15,Away,LAL,L,85,97,35,96,0.365,7,27,0.259,8,15,0.5329999999999999,12,46,16,7,2,10,25,31,75,0.413,6,19,0.316,29,39,0.7440000000000001,7,46,24,5,5,16,19,2015-11-15,-12,4,21,-0.04799999999999999,1,8,-0.057,-21,-24,-0.2110000000000002,5,0,-8,2,-3,-6,6,881.0,6.0,330.0,-9.0,778.0,37.0,3.838,-0.2990000000000002,71.0,0.0,228.0,33.0,2.8099999999999996,-0.47,150.0,24.0,233.0,65.0,5.84,-0.9690000000000001,131.0,51.0,434.0,49.0,148.0,-38.0,72.0,-3.0,30.0,-7.0,137.0,-9.0,169.0,-36.0
666,666,3126,1155,DET,11,2015-11-17,Home,CLE,W,104,99,36,84,0.429,7,21,0.33299999999999996,25,31,0.8059999999999999,11,48,20,11,1,13,15,38,80,0.475,11,33,0.33299999999999996,12,20,0.6,3,40,21,8,2,14,25,2015-11-17,5,-2,4,-0.04599999999999999,-4,-12,0.0,13,11,0.206,8,8,-1,3,-1,-1,-10,966.0,-6.0,365.0,-5.0,874.0,58.0,4.203,-0.3470000000000002,78.0,1.0,255.0,41.0,3.0689999999999995,-0.527,158.0,3.0,248.0,41.0,6.372999999999999,-1.1800000000000002,143.0,56.0,480.0,49.0,164.0,-46.0,79.0,-1.0,32.0,-10.0,147.0,-15.0,194.0,-30.0
667,667,3127,1240,DET,12,2015-11-20,Away,MIN,W,96,86,40,87,0.46,6,28,0.214,10,13,0.769,8,45,13,11,5,14,23,33,77,0.429,3,13,0.231,17,25,0.68,6,40,17,7,4,17,19,2015-11-20,10,7,10,0.031000000000000024,3,15,-0.017000000000000015,-7,-12,0.08899999999999998,2,5,-4,4,1,-3,4,1070.0,-1.0,401.0,-7.0,958.0,62.0,4.632000000000001,-0.3930000000000002,85.0,-3.0,276.0,29.0,3.4019999999999992,-0.527,183.0,16.0,279.0,52.0,7.178999999999999,-0.9740000000000002,154.0,64.0,528.0,57.0,184.0,-47.0,90.0,2.0,33.0,-11.0,160.0,-16.0,209.0,-40.0
668,668,3128,1338,DET,13,2015-11-21,Home,WAS,L,95,97,36,79,0.456,8,26,0.308,15,21,0.7140000000000001,8,38,20,3,2,13,17,38,78,0.48700000000000004,7,19,0.368,14,20,0.7,9,42,22,10,0,11,19,2015-11-21,-2,-2,1,-0.03099999999999997,1,7,-0.06,1,1,0.014000000000000123,-1,-4,-2,-7,2,2,-2,1166.0,9.0,441.0,0.0,1045.0,72.0,5.0920000000000005,-0.36200000000000015,91.0,0.0,304.0,44.0,3.615999999999999,-0.544,193.0,9.0,292.0,40.0,7.9479999999999995,-0.8850000000000002,162.0,66.0,573.0,62.0,197.0,-51.0,101.0,6.0,38.0,-10.0,174.0,-19.0,232.0,-36.0
669,669,3129,1438,DET,14,2015-11-23,Away,MIL,L,88,109,31,91,0.341,6,28,0.214,20,24,0.833,22,48,19,7,3,17,18,43,83,0.518,9,13,0.6920000000000001,14,17,0.8240000000000001,12,45,30,12,4,12,23,2015-11-23,-21,-12,8,-0.177,-3,15,-0.4780000000000001,6,7,0.008999999999999897,10,3,-11,-5,-1,5,-5,1261.0,7.0,477.0,-2.0,1124.0,73.0,5.548000000000001,-0.3930000000000001,99.0,1.0,330.0,51.0,3.923999999999999,-0.6040000000000001,208.0,10.0,313.0,41.0,8.661999999999999,-0.8710000000000001,170.0,65.0,611.0,58.0,217.0,-53.0,104.0,-1.0,40.0,-8.0,187.0,-17.0,249.0,-38.0
670,670,3130,1538,DET,15,2015-11-25,Home,MIA,W,104,81,41,98,0.418,16,31,0.516,6,7,0.857,18,54,24,6,7,7,16,32,79,0.405,6,20,0.3,11,16,0.688,10,43,21,2,7,13,14,2015-11-25,23,9,19,0.012999999999999956,10,11,0.21600000000000005,-5,-9,0.16900000000000004,8,11,3,4,0,-6,2,1349.0,-14.0,508.0,-14.0,1215.0,81.0,5.889000000000001,-0.5700000000000001,105.0,-2.0,358.0,66.0,4.137999999999999,-1.0820000000000003,228.0,16.0,337.0,48.0,9.495,-0.8620000000000002,192.0,75.0,659.0,61.0,236.0,-64.0,111.0,-6.0,43.0,-9.0,204.0,-12.0,267.0,-43.0
671,671,3131,1638,DET,16,2015-11-27,Away,OKC,L,87,103,31,90,0.344,9,29,0.31,16,20,0.8,13,38,17,9,1,8,21,37,79,0.46799999999999997,7,24,0.292,22,26,0.846,12,58,19,2,9,18,19,2015-11-27,-16,-6,11,-0.12400000000000005,2,5,0.018000000000000016,-6,-6,-0.04599999999999993,1,-20,-2,7,-8,-10,2,1453.0,9.0,549.0,-5.0,1313.0,100.0,6.307000000000001,-0.5570000000000002,121.0,8.0,389.0,77.0,4.653999999999999,-0.8660000000000002,234.0,11.0,344.0,39.0,10.351999999999999,-0.6930000000000002,210.0,83.0,713.0,72.0,260.0,-61.0,117.0,-2.0,50.0,-9.0,211.0,-18.0,283.0,-41.0
672,672,3132,1738,DET,17,2015-11-29,Away,BRK,L,83,87,34,101,0.337,6,24,0.25,9,21,0.429,19,51,19,11,1,14,15,35,81,0.4320000000000001,4,12,0.33299999999999996,13,16,0.813,7,51,15,8,11,19,16,2015-11-29,-4,-1,20,-0.09500000000000007,2,12,-0.08300000000000002,-4,5,-0.384,12,0,4,3,-10,-5,-1,1540.0,-7.0,580.0,-11.0,1403.0,111.0,6.651000000000002,-0.6810000000000003,130.0,10.0,418.0,82.0,4.963999999999999,-0.8480000000000002,250.0,5.0,364.0,33.0,11.152,-0.7390000000000001,223.0,84.0,751.0,52.0,277.0,-63.0,126.0,5.0,51.0,-17.0,219.0,-28.0,304.0,-39.0
673,673,3133,1838,DET,18,2015-11-30,Home,HOU,W,116,105,45,85,0.529,8,23,0.348,18,37,0.486,14,46,22,8,8,11,19,35,88,0.39799999999999996,11,27,0.40700000000000003,24,28,0.857,16,45,19,11,7,16,27,2015-11-30,11,10,-3,0.131,-3,-4,-0.059000000000000004,-6,9,-0.371,-2,1,3,-3,1,-5,-8,1623.0,-11.0,614.0,-12.0,1504.0,131.0,6.988000000000001,-0.7760000000000004,136.0,12.0,442.0,94.0,5.213999999999999,-0.9310000000000003,259.0,1.0,385.0,38.0,11.581,-1.1230000000000002,242.0,96.0,802.0,52.0,296.0,-59.0,137.0,8.0,52.0,-27.0,233.0,-33.0,319.0,-40.0
674,674,3134,1938,DET,19,2015-12-02,Home,PHO,W,127,122,44,87,0.506,12,27,0.444,27,44,0.614,13,50,24,10,1,18,20,47,97,0.485,14,33,0.424,14,15,0.9329999999999999,10,36,28,7,3,15,33,2015-12-02,5,-3,-10,0.02100000000000002,-2,-6,0.020000000000000014,13,29,-0.3190000000000001,3,14,-4,3,-2,3,-13,1739.0,0.0,659.0,-2.0,1589.0,128.0,7.517000000000001,-0.6450000000000004,144.0,9.0,465.0,90.0,5.5619999999999985,-0.9900000000000003,277.0,-5.0,422.0,47.0,12.067,-1.4940000000000002,256.0,94.0,848.0,53.0,318.0,-56.0,145.0,5.0,60.0,-26.0,244.0,-38.0,338.0,-48.0
675,675,3135,2038,DET,20,2015-12-04,Home,MIL,W,102,95,34,82,0.415,7,23,0.304,27,39,0.6920000000000001,8,46,18,8,4,9,11,39,87,0.44799999999999995,4,18,0.222,13,14,0.929,9,51,21,6,6,14,33,2015-12-04,7,-5,-5,-0.03300000000000003,3,5,0.08199999999999999,14,25,-0.237,-1,-5,-3,2,-2,-5,-22,1866.0,5.0,703.0,-5.0,1676.0,118.0,8.023000000000001,-0.6240000000000003,156.0,7.0,492.0,84.0,6.0059999999999985,-0.9700000000000003,304.0,8.0,466.0,76.0,12.681000000000001,-1.8130000000000004,269.0,97.0,898.0,67.0,342.0,-60.0,155.0,8.0,61.0,-28.0,262.0,-35.0,358.0,-61.0
676,676,3136,2155,DET,21,2015-12-06,Home,LAL,W,111,91,41,93,0.441,9,24,0.375,20,26,0.769,17,61,20,11,1,16,21,32,80,0.4,5,18,0.278,22,29,0.759,8,39,12,6,4,15,21,2015-12-06,20,9,13,0.04099999999999998,4,6,0.09699999999999998,-2,-3,0.010000000000000007,9,22,8,5,-3,1,0,1968.0,12.0,737.0,-10.0,1758.0,113.0,8.438,-0.6570000000000004,163.0,10.0,515.0,89.0,6.309999999999999,-0.8880000000000003,331.0,22.0,505.0,101.0,13.373000000000001,-2.0500000000000003,277.0,96.0,944.0,62.0,360.0,-63.0,163.0,10.0,65.0,-30.0,271.0,-40.0,369.0,-83.0
677,677,3137,2240,DET,22,2015-12-07,Away,CHO,L,84,104,32,87,0.368,10,34,0.294,10,22,0.455,7,41,17,11,2,12,20,36,84,0.429,8,26,0.308,24,35,0.6859999999999999,14,57,21,5,5,14,20,2015-12-07,-20,-4,3,-0.061,2,8,-0.014000000000000012,-14,-13,-0.23099999999999996,-7,-16,-4,6,-3,-2,0,2079.0,32.0,778.0,-1.0,1851.0,126.0,8.879000000000001,-0.6160000000000003,172.0,14.0,539.0,95.0,6.684999999999999,-0.7910000000000004,351.0,20.0,531.0,98.0,14.142000000000001,-2.0400000000000005,294.0,105.0,1005.0,84.0,380.0,-55.0,174.0,15.0,66.0,-33.0,287.0,-39.0,390.0,-83.0
678,678,3138,2338,DET,23,2015-12-09,Home,MEM,L,92,93,37,87,0.425,8,29,0.276,10,15,0.667,13,43,17,9,6,12,16,41,88,0.466,4,15,0.267,7,13,0.5379999999999999,16,53,23,4,4,17,15,2015-12-09,-1,-4,-1,-0.041000000000000036,4,14,0.009000000000000008,3,2,0.12900000000000011,-3,-10,-6,5,2,-5,1,2163.0,12.0,810.0,-5.0,1938.0,129.0,9.247000000000002,-0.6770000000000003,182.0,16.0,573.0,103.0,6.978999999999998,-0.8050000000000004,361.0,6.0,553.0,85.0,14.597000000000001,-2.2710000000000004,301.0,98.0,1046.0,68.0,397.0,-59.0,185.0,21.0,68.0,-36.0,299.0,-41.0,410.0,-83.0
679,679,3139,2438,DET,24,2015-12-11,Away,PHI,W,107,95,43,93,0.462,10,27,0.37,11,16,0.688,17,48,18,9,9,14,21,36,80,0.45,6,18,0.33299999999999996,17,24,0.708,13,44,22,5,5,21,16,2015-12-11,12,7,13,0.012000000000000009,4,9,0.036999999999999984,-6,-8,-0.020000000000000014,4,4,-4,4,4,-7,5,2255.0,11.0,847.0,-9.0,2025.0,128.0,9.672000000000002,-0.7180000000000003,190.0,20.0,602.0,117.0,7.254999999999998,-0.7960000000000004,371.0,9.0,568.0,87.0,15.264000000000001,-2.1420000000000003,314.0,95.0,1089.0,58.0,414.0,-65.0,194.0,26.0,74.0,-34.0,311.0,-46.0,426.0,-82.0
680,680,3140,2538,DET,25,2015-12-12,Home,IND,W,118,96,45,90,0.5,13,29,0.44799999999999995,15,19,0.789,10,46,26,11,6,14,18,41,82,0.5,3,16,0.188,11,18,0.611,5,33,17,7,2,16,16,2015-12-12,22,4,8,0.0,10,13,0.26,4,1,0.17800000000000005,5,13,9,4,4,-2,2,2362.0,23.0,890.0,-2.0,2118.0,141.0,10.134000000000002,-0.7060000000000003,200.0,24.0,629.0,126.0,7.624999999999998,-0.7590000000000003,382.0,3.0,584.0,79.0,15.952000000000002,-2.1620000000000004,331.0,99.0,1137.0,62.0,432.0,-69.0,203.0,30.0,83.0,-30.0,325.0,-53.0,447.0,-77.0
681,681,3141,2638,DET,26,2015-12-14,Home,LAC,L,103,105,37,89,0.41600000000000004,6,19,0.316,23,31,0.742,15,54,17,8,0,18,21,44,97,0.45399999999999996,6,19,0.316,11,15,0.733,10,39,29,9,4,10,22,2015-12-14,-2,-7,-8,-0.038000000000000034,0,0,0.0,12,16,0.009000000000000008,5,15,-12,-1,-4,8,-1,2480.0,45.0,935.0,2.0,2208.0,149.0,10.634000000000002,-0.7060000000000003,213.0,34.0,658.0,139.0,8.072999999999999,-0.49900000000000033,397.0,7.0,603.0,80.0,16.741000000000003,-1.9840000000000004,341.0,104.0,1183.0,75.0,458.0,-60.0,214.0,34.0,89.0,-26.0,339.0,-55.0,465.0,-75.0
