,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,date,Points-Differential,FieldGoals-Differential,FieldGoalsAttempted-Differential,FieldGoals.-Differential,3PointShots-Differential,3PointShotsAttempted-Differential,3PointShots.-Differential,FreeThrows-Differential,FreeThrowsAttempted-Differential,FreeThrows.-Differential,OffRebounds-Differential,TotalRebounds-Differential,Assists-Differential,Steals-Differential,Blocks-Differential,Turnovers-Differential,TotalFouls-Differential,cumalitive_Points,cumalitive_Points_differential,cumalitive_FieldGoals,cumalitive_FieldGoals_differential,cumalitive_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted_differential,cumalitive_FieldGoals.,cumalitive_FieldGoals._differential,cumalitive_3PointShots,cumalitive_3PointShots_differential,cumalitive_3PointShotsAttempted,cumalitive_3PointShotsAttempted_differential,cumalitive_3PointShots.,cumalitive_3PointShots._differential,cumalitive_FreeThrows,cumalitive_FreeThrows_differential,cumalitive_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted_differential,cumalitive_FreeThrows.,cumalitive_FreeThrows._differential,cumalitive_OffRebounds,cumalitive_OffRebounds_differential,cumalitive_TotalRebounds,cumalitive_TotalRebounds_differential,cumalitive_Assists,cumalitive_Assists_differential,cumalitive_Steals,cumalitive_Steals_differential,cumalitive_Blocks,cumalitive_Blocks_differential,cumalitive_Turnovers,cumalitive_Turnovers_differential,cumalitive_TotalFouls,cumalitive_TotalFouls_differential
246,246,2706,1144,CHO,1,2015-10-28,Away,MIA,L,94,104,33,84,0.39299999999999996,6,24,0.25,22,29,0.759,11,43,16,4,1,8,16,36,73,0.493,12,20,0.6,20,21,0.9520000000000001,2,41,23,5,7,13,25,2015-10-28,-10,-3,11,-0.09999999999999998,-6,4,-0.35,2,8,-0.19299999999999995,9,2,-7,-1,-6,-5,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,247,2707,2144,CHO,2,2015-10-30,Away,ATL,L,94,97,36,88,0.409,12,30,0.4,10,13,0.769,13,54,23,7,6,18,20,36,83,0.434,8,23,0.348,17,22,0.773,8,45,23,9,4,15,17,2015-10-30,-3,0,5,-0.025000000000000026,4,7,0.05200000000000005,-7,-9,-0.0040000000000000036,5,9,0,-2,2,3,3,94.0,-10.0,33.0,-3.0,84.0,11.0,0.39299999999999996,-0.09999999999999998,6.0,-6.0,24.0,4.0,0.25,-0.35,22.0,2.0,29.0,8.0,0.759,-0.19299999999999995,11.0,9.0,43.0,2.0,16.0,-7.0,4.0,-1.0,1.0,-6.0,8.0,-5.0,16.0,-9.0
248,248,2708,3144,CHO,3,2015-11-01,Home,ATL,L,92,94,32,86,0.3720000000000001,14,37,0.37799999999999995,14,15,0.9329999999999999,9,45,27,7,13,11,14,37,88,0.42,7,29,0.24100000000000002,13,14,0.929,9,48,22,9,6,11,16,2015-11-01,-2,-5,-2,-0.04799999999999988,7,8,0.13699999999999998,1,1,0.0040000000000000036,0,-3,5,-2,7,0,-2,188.0,-13.0,69.0,-3.0,172.0,16.0,0.8019999999999999,-0.125,18.0,-2.0,54.0,11.0,0.65,-0.29799999999999993,32.0,-5.0,42.0,-1.0,1.528,-0.19699999999999995,24.0,14.0,97.0,11.0,39.0,-7.0,11.0,-3.0,7.0,-4.0,26.0,-2.0,36.0,-6.0
249,249,2709,4144,CHO,4,2015-11-03,Home,CHI,W,130,105,47,91,0.516,14,23,0.609,22,23,0.9570000000000001,12,52,26,6,4,9,11,44,90,0.489,14,30,0.467,3,8,0.375,4,33,26,5,0,12,19,2015-11-03,25,3,1,0.027000000000000024,0,-7,0.14199999999999996,19,15,0.5820000000000001,8,19,0,1,4,-3,-8,280.0,-15.0,101.0,-8.0,258.0,14.0,1.174,-0.17299999999999988,32.0,5.0,91.0,19.0,1.028,-0.16099999999999995,46.0,-4.0,57.0,0.0,2.461,-0.19299999999999995,33.0,14.0,142.0,8.0,66.0,-2.0,18.0,-5.0,20.0,3.0,37.0,-2.0,50.0,-8.0
250,250,2710,5144,CHO,5,2015-11-05,Away,DAL,W,108,94,44,89,0.494,6,27,0.222,14,17,0.8240000000000001,8,48,19,8,6,11,25,32,82,0.39,6,29,0.207,24,27,0.889,8,44,17,8,2,13,13,2015-11-05,14,12,7,0.10399999999999998,0,-2,0.015000000000000013,-10,-10,-0.06499999999999995,0,4,2,0,4,-2,12,410.0,10.0,148.0,-5.0,349.0,15.0,1.69,-0.14599999999999985,46.0,5.0,114.0,12.0,1.637,-0.01899999999999999,68.0,15.0,80.0,15.0,3.418,0.3890000000000001,45.0,22.0,194.0,27.0,92.0,-2.0,24.0,-4.0,24.0,7.0,46.0,-5.0,61.0,-16.0
251,251,2711,6144,CHO,6,2015-11-07,Away,SAS,L,94,114,34,73,0.466,6,19,0.316,20,31,0.645,6,33,15,7,0,15,18,45,81,0.556,9,21,0.429,15,23,0.652,6,42,35,11,3,12,26,2015-11-07,-20,-11,-8,-0.09000000000000002,-3,-2,-0.113,5,8,-0.007000000000000006,0,-9,-20,-4,-3,3,-8,518.0,24.0,192.0,7.0,438.0,22.0,2.184,-0.04199999999999987,52.0,5.0,141.0,10.0,1.859,-0.003999999999999976,82.0,5.0,97.0,5.0,4.242,0.3240000000000002,53.0,22.0,242.0,31.0,111.0,0.0,32.0,-4.0,30.0,11.0,57.0,-7.0,86.0,-4.0
252,252,2712,7144,CHO,7,2015-11-10,Away,MIN,W,104,95,38,78,0.48700000000000004,8,26,0.308,20,27,0.741,4,34,18,8,5,16,20,36,80,0.45,9,19,0.474,14,19,0.737,10,48,25,6,4,22,21,2015-11-10,9,2,-2,0.036999999999999984,-1,7,-0.16599999999999998,6,8,0.0040000000000000036,-6,-14,-7,2,1,-6,-1,612.0,4.0,226.0,-4.0,511.0,14.0,2.6500000000000004,-0.1319999999999999,58.0,2.0,160.0,8.0,2.175,-0.11699999999999998,102.0,10.0,128.0,13.0,4.8870000000000005,0.31700000000000017,59.0,22.0,275.0,22.0,126.0,-20.0,39.0,-8.0,30.0,8.0,72.0,-4.0,104.0,-12.0
253,253,2713,852,CHO,8,2015-11-11,Home,NYK,W,95,93,35,84,0.41700000000000004,8,23,0.348,17,28,0.607,7,33,21,11,5,5,9,42,86,0.488,4,21,0.19,5,7,0.7140000000000001,11,52,20,5,5,16,24,2015-11-11,2,-7,-2,-0.07100000000000001,4,2,0.15799999999999995,12,21,-0.1070000000000001,-4,-19,1,6,0,-11,-15,716.0,13.0,264.0,-2.0,589.0,12.0,3.1370000000000005,-0.09499999999999992,66.0,1.0,186.0,15.0,2.4829999999999997,-0.283,122.0,16.0,155.0,21.0,5.628,0.3210000000000002,63.0,16.0,309.0,8.0,144.0,-27.0,47.0,-6.0,35.0,9.0,88.0,-10.0,124.0,-13.0
254,254,2714,933,CHO,9,2015-11-13,Away,CHI,L,97,102,36,95,0.379,15,33,0.455,10,12,0.833,9,45,21,9,4,6,21,37,84,0.44,4,16,0.25,24,31,0.774,10,57,27,4,6,11,16,2015-11-13,-5,-1,11,-0.061,11,17,0.205,-14,-19,0.058999999999999934,-1,-12,-6,5,-2,-5,5,811.0,15.0,299.0,-9.0,673.0,10.0,3.5540000000000003,-0.16599999999999993,74.0,5.0,209.0,17.0,2.8309999999999995,-0.12500000000000003,139.0,28.0,183.0,42.0,6.235,0.21400000000000008,70.0,12.0,342.0,-11.0,165.0,-26.0,58.0,0.0,40.0,9.0,93.0,-21.0,133.0,-28.0
255,255,2715,1033,CHO,10,2015-11-15,Home,POR,W,106,94,41,83,0.494,9,31,0.29,15,19,0.789,7,37,29,6,9,11,16,35,89,0.39299999999999996,5,21,0.23800000000000002,19,21,0.905,16,46,20,5,3,12,25,2015-11-15,12,6,-6,0.10099999999999998,4,10,0.05199999999999999,-4,-2,-0.116,-9,-9,9,1,6,-1,-9,908.0,10.0,335.0,-10.0,768.0,21.0,3.9330000000000003,-0.22699999999999992,89.0,16.0,242.0,34.0,3.2859999999999996,0.07999999999999996,149.0,14.0,195.0,23.0,7.0680000000000005,0.273,79.0,11.0,387.0,-23.0,186.0,-32.0,67.0,5.0,44.0,7.0,99.0,-26.0,154.0,-23.0
256,256,2716,1145,CHO,11,2015-11-17,Away,NYK,L,94,102,36,82,0.439,5,20,0.25,17,25,0.68,8,42,13,7,7,7,16,36,89,0.40399999999999997,10,20,0.5,20,21,0.9520000000000001,10,45,22,4,6,10,20,2015-11-17,-8,0,-7,0.034999999999999976,-5,0,-0.25,-3,4,-0.2719999999999999,-2,-3,-9,3,1,-3,-4,1014.0,22.0,376.0,-4.0,851.0,15.0,4.4270000000000005,-0.12599999999999995,98.0,20.0,273.0,44.0,3.5759999999999996,0.13199999999999995,164.0,10.0,214.0,21.0,7.857,0.15700000000000003,86.0,2.0,424.0,-32.0,215.0,-23.0,73.0,6.0,53.0,13.0,110.0,-27.0,170.0,-32.0
257,257,2717,1235,CHO,12,2015-11-18,Home,BRK,W,116,111,39,80,0.488,11,25,0.44,27,36,0.75,9,49,27,5,8,15,16,44,91,0.484,5,15,0.33299999999999996,18,22,0.818,5,37,25,5,4,9,23,2015-11-18,5,-5,-11,0.0040000000000000036,6,10,0.10699999999999997,9,14,-0.06799999999999995,4,12,2,0,4,6,-7,1108.0,14.0,412.0,-4.0,933.0,8.0,4.8660000000000005,-0.09099999999999997,103.0,15.0,293.0,44.0,3.8259999999999996,-0.11800000000000005,181.0,7.0,239.0,25.0,8.537,-0.11499999999999988,94.0,0.0,466.0,-35.0,228.0,-32.0,80.0,9.0,60.0,14.0,117.0,-30.0,186.0,-36.0
258,258,2718,1333,CHO,13,2015-11-20,Home,PHI,W,113,88,40,81,0.494,12,25,0.48,21,22,0.955,5,41,25,7,10,11,21,32,79,0.405,8,26,0.308,16,22,0.727,9,42,21,5,6,17,18,2015-11-20,25,8,2,0.08899999999999998,4,-1,0.172,5,0,0.228,-4,-1,4,2,4,-6,3,1224.0,19.0,451.0,-9.0,1013.0,-3.0,5.354000000000001,-0.08699999999999997,114.0,21.0,318.0,54.0,4.266,-0.01100000000000008,208.0,16.0,275.0,39.0,9.287,-0.18299999999999983,103.0,4.0,515.0,-23.0,255.0,-30.0,85.0,9.0,68.0,18.0,132.0,-24.0,202.0,-43.0
259,259,2719,1433,CHO,14,2015-11-23,Home,SAC,W,127,122,49,98,0.5,9,29,0.31,20,26,0.769,8,48,24,10,7,19,19,52,104,0.5,8,31,0.258,10,16,0.625,8,46,34,10,8,20,30,2015-11-23,5,-3,-6,0.0,1,-2,0.05199999999999999,10,10,0.14400000000000002,0,2,-10,0,-1,-1,-11,1337.0,44.0,491.0,-1.0,1094.0,-1.0,5.848000000000001,0.0020000000000000157,126.0,25.0,343.0,53.0,4.746,0.16099999999999992,229.0,21.0,297.0,39.0,10.242,0.04500000000000018,108.0,0.0,556.0,-24.0,280.0,-26.0,92.0,11.0,78.0,22.0,143.0,-30.0,223.0,-40.0
260,260,2720,1533,CHO,15,2015-11-25,Home,WAS,W,101,87,39,83,0.47,8,26,0.308,15,15,1.0,9,51,22,5,6,19,17,31,87,0.35600000000000004,10,32,0.313,15,18,0.833,11,41,15,13,4,14,20,2015-11-25,14,8,-4,0.11399999999999992,-2,-6,-0.0050000000000000044,0,-3,0.16700000000000004,-2,10,7,-8,2,5,-3,1464.0,49.0,540.0,-4.0,1192.0,-7.0,6.348000000000001,0.0020000000000000157,135.0,26.0,372.0,51.0,5.056,0.2129999999999999,249.0,31.0,323.0,49.0,11.011000000000001,0.1890000000000002,116.0,0.0,604.0,-22.0,304.0,-36.0,102.0,11.0,85.0,21.0,162.0,-31.0,242.0,-51.0
261,261,2721,1633,CHO,16,2015-11-27,Home,CLE,L,90,95,33,80,0.413,5,25,0.2,19,25,0.76,7,38,20,7,7,11,25,34,81,0.42,8,25,0.32,19,25,0.76,12,50,17,3,2,16,22,2015-11-27,-5,-1,-1,-0.007000000000000006,-3,0,-0.12,0,0,0.0,-5,-12,3,4,5,-5,3,1565.0,63.0,579.0,4.0,1275.0,-11.0,6.8180000000000005,0.11599999999999994,143.0,24.0,398.0,45.0,5.364,0.2079999999999999,264.0,31.0,338.0,46.0,12.011000000000001,0.3560000000000002,125.0,-2.0,655.0,-12.0,326.0,-29.0,107.0,3.0,91.0,23.0,181.0,-26.0,259.0,-54.0
262,262,2722,1733,CHO,17,2015-11-29,Home,MIL,W,87,82,27,70,0.386,15,31,0.484,18,22,0.818,7,43,20,6,6,13,16,33,82,0.402,8,28,0.28600000000000003,8,14,0.5710000000000001,13,46,25,9,2,14,24,2015-11-29,5,-6,-12,-0.016000000000000014,7,3,0.19799999999999995,10,8,0.2469999999999999,-6,-3,-5,-3,4,-1,-8,1655.0,58.0,612.0,3.0,1355.0,-12.0,7.231000000000001,0.10899999999999993,148.0,21.0,423.0,45.0,5.564,0.08799999999999991,283.0,31.0,363.0,46.0,12.771,0.3560000000000002,132.0,-7.0,693.0,-24.0,346.0,-26.0,114.0,7.0,98.0,28.0,192.0,-31.0,284.0,-51.0
263,263,2723,1833,CHO,18,2015-12-02,Home,GSW,L,99,116,35,94,0.3720000000000001,9,31,0.29,20,30,0.667,13,41,19,10,7,8,13,46,88,0.523,16,34,0.47100000000000003,8,11,0.727,11,53,31,2,9,18,23,2015-12-02,-17,-11,6,-0.1509999999999999,-7,-3,-0.18100000000000002,12,19,-0.059999999999999935,2,-12,-12,8,-2,-10,-10,1742.0,63.0,639.0,-3.0,1425.0,-24.0,7.617000000000001,0.09299999999999992,163.0,28.0,454.0,48.0,6.048,0.28599999999999987,301.0,41.0,385.0,54.0,13.589,0.6030000000000001,139.0,-13.0,736.0,-27.0,366.0,-31.0,120.0,4.0,104.0,32.0,205.0,-32.0,300.0,-59.0
264,264,2724,1933,CHO,19,2015-12-05,Away,CHI,W,102,96,37,89,0.41600000000000004,10,34,0.294,18,25,0.72,13,50,23,10,3,9,18,37,89,0.41600000000000004,9,25,0.36,13,19,0.684,12,52,29,5,5,14,19,2015-12-05,6,0,0,0.0,1,9,-0.066,5,6,0.03599999999999992,1,-2,-6,5,-2,-5,-1,1841.0,46.0,674.0,-14.0,1519.0,-18.0,7.989000000000001,-0.057999999999999996,172.0,21.0,485.0,45.0,6.338,0.10499999999999984,321.0,53.0,415.0,73.0,14.256,0.5430000000000001,152.0,-11.0,777.0,-39.0,385.0,-43.0,130.0,12.0,111.0,30.0,213.0,-42.0,313.0,-69.0
265,265,2725,2033,CHO,20,2015-12-07,Home,DET,W,104,84,36,84,0.429,8,26,0.308,24,35,0.6859999999999999,14,57,21,5,5,14,20,32,87,0.368,10,34,0.294,10,22,0.455,7,41,17,11,2,12,20,2015-12-07,20,4,-3,0.061,-2,-8,0.014000000000000012,14,13,0.23099999999999996,7,16,4,-6,3,2,0,1943.0,52.0,711.0,-14.0,1608.0,-18.0,8.405000000000001,-0.057999999999999996,182.0,22.0,519.0,54.0,6.632,0.03899999999999984,339.0,58.0,440.0,79.0,14.976,0.5790000000000001,165.0,-10.0,827.0,-41.0,408.0,-49.0,140.0,17.0,114.0,28.0,222.0,-47.0,331.0,-70.0
266,266,2726,2145,CHO,21,2015-12-09,Home,MIA,W,99,81,40,81,0.494,11,27,0.40700000000000003,8,17,0.47100000000000003,3,40,27,9,5,10,21,29,75,0.387,6,21,0.28600000000000003,17,24,0.708,7,43,17,3,8,17,14,2015-12-09,18,11,6,0.10699999999999997,5,6,0.12099999999999995,-9,-7,-0.237,-4,-3,10,6,-3,-7,7,2047.0,72.0,747.0,-10.0,1692.0,-21.0,8.834000000000001,0.0030000000000000027,190.0,20.0,545.0,46.0,6.9399999999999995,0.05299999999999985,363.0,72.0,475.0,92.0,15.662,0.81,179.0,-3.0,884.0,-25.0,429.0,-45.0,145.0,11.0,119.0,31.0,236.0,-45.0,351.0,-70.0
267,267,2727,2235,CHO,22,2015-12-11,Away,MEM,W,123,99,39,78,0.5,18,37,0.486,27,30,0.9,7,41,23,5,5,13,24,32,80,0.4,7,20,0.35,28,37,0.757,11,40,19,8,5,12,24,2015-12-11,24,7,-2,0.09999999999999998,11,17,0.136,-1,-7,0.14300000000000002,-4,1,4,-3,0,1,0,2146.0,90.0,787.0,1.0,1773.0,-15.0,9.328000000000001,0.10999999999999997,201.0,25.0,572.0,52.0,7.3469999999999995,0.17399999999999982,371.0,63.0,492.0,85.0,16.133,0.5730000000000001,182.0,-7.0,924.0,-28.0,456.0,-35.0,154.0,17.0,124.0,28.0,246.0,-52.0,372.0,-63.0
268,268,2728,2333,CHO,23,2015-12-12,Home,BOS,L,93,98,36,88,0.409,11,35,0.314,10,10,1.0,7,52,17,1,5,11,12,40,96,0.41700000000000004,9,25,0.36,9,10,0.9,3,42,26,5,5,5,13,2015-12-12,-5,-4,-8,-0.008000000000000007,2,10,-0.04599999999999999,1,0,0.09999999999999998,4,10,-9,-4,0,6,-1,2269.0,114.0,826.0,8.0,1851.0,-17.0,9.828000000000001,0.20999999999999996,219.0,36.0,609.0,69.0,7.832999999999999,0.30999999999999983,398.0,62.0,522.0,78.0,17.032999999999998,0.7160000000000001,189.0,-11.0,965.0,-27.0,479.0,-31.0,159.0,14.0,129.0,28.0,259.0,-51.0,396.0,-63.0
269,269,2729,2433,CHO,24,2015-12-16,Away,ORL,L,98,113,36,79,0.456,14,34,0.41200000000000003,12,15,0.8,7,33,23,12,3,16,19,43,77,0.5579999999999999,14,24,0.583,13,15,0.867,4,40,28,12,4,17,15,2015-12-16,-15,-7,2,-0.10199999999999992,0,10,-0.171,-1,0,-0.06699999999999995,3,-7,-5,0,-1,-1,4,2362.0,109.0,862.0,4.0,1939.0,-25.0,10.237000000000002,0.20199999999999996,230.0,38.0,644.0,79.0,8.146999999999998,0.26399999999999985,408.0,63.0,532.0,78.0,18.032999999999998,0.8160000000000001,196.0,-7.0,1017.0,-17.0,496.0,-40.0,160.0,10.0,134.0,28.0,270.0,-45.0,408.0,-64.0
270,270,2730,2533,CHO,25,2015-12-17,Home,TOR,W,109,99,37,85,0.435,10,29,0.345,25,31,0.8059999999999999,6,51,23,5,9,13,23,35,97,0.361,9,39,0.231,20,28,0.7140000000000001,9,46,18,7,10,8,22,2015-12-17,10,2,-12,0.07400000000000001,1,-10,0.11399999999999995,5,3,0.09199999999999986,-3,5,5,-2,-1,5,1,2460.0,94.0,898.0,-3.0,2018.0,-23.0,10.693000000000001,0.10000000000000003,244.0,38.0,678.0,89.0,8.559,0.09299999999999983,420.0,62.0,547.0,78.0,18.833,0.7490000000000001,203.0,-4.0,1050.0,-24.0,519.0,-45.0,172.0,10.0,137.0,27.0,286.0,-46.0,427.0,-60.0
271,271,2731,2633,CHO,26,2015-12-19,Away,WAS,L,101,109,39,93,0.419,10,33,0.303,13,16,0.813,18,51,23,8,4,17,20,40,79,0.506,9,20,0.45,20,23,0.87,5,38,26,10,4,14,14,2015-12-19,-8,-1,14,-0.08700000000000002,1,13,-0.14700000000000002,-7,-7,-0.05700000000000005,13,13,-3,-2,0,3,6,2569.0,104.0,935.0,-1.0,2103.0,-35.0,11.128000000000002,0.17400000000000004,254.0,39.0,707.0,79.0,8.904,0.2069999999999998,445.0,67.0,578.0,81.0,19.639,0.841,209.0,-7.0,1101.0,-19.0,542.0,-40.0,177.0,8.0,146.0,26.0,299.0,-41.0,450.0,-59.0
272,272,2732,2733,CHO,27,2015-12-21,Away,HOU,L,95,102,29,83,0.349,12,41,0.293,25,31,0.8059999999999999,9,35,20,8,3,11,27,33,71,0.465,7,28,0.25,29,41,0.7070000000000001,9,49,18,3,4,19,33,2015-12-21,-7,-4,12,-0.11600000000000005,5,13,0.04299999999999998,-4,-10,0.09899999999999988,0,-14,2,5,-1,-8,-6,2670.0,96.0,974.0,-2.0,2196.0,-21.0,11.547000000000002,0.08700000000000002,264.0,40.0,740.0,92.0,9.207,0.059999999999999776,458.0,60.0,594.0,74.0,20.451999999999998,0.7839999999999999,227.0,6.0,1152.0,-6.0,565.0,-43.0,185.0,6.0,150.0,26.0,316.0,-38.0,470.0,-53.0
273,273,2733,2833,CHO,28,2015-12-23,Home,BOS,L,89,102,29,81,0.358,8,28,0.28600000000000003,23,32,0.7190000000000001,12,44,19,6,6,16,18,36,85,0.424,7,29,0.24100000000000002,23,26,0.885,10,49,25,9,4,13,23,2015-12-23,-13,-7,-4,-0.066,1,-1,0.04500000000000004,0,6,-0.16599999999999993,2,-5,-6,-3,2,3,-5,2765.0,89.0,1003.0,-6.0,2279.0,-9.0,11.896000000000003,-0.029000000000000026,276.0,45.0,781.0,105.0,9.5,0.10299999999999976,483.0,56.0,625.0,64.0,21.258,0.8829999999999998,236.0,6.0,1187.0,-20.0,585.0,-41.0,193.0,11.0,153.0,25.0,327.0,-46.0,497.0,-59.0
274,274,2734,2933,CHO,29,2015-12-26,Home,MEM,W,98,92,28,69,0.406,14,32,0.43799999999999994,28,32,0.875,7,43,21,10,13,16,24,37,90,0.41100000000000003,7,19,0.368,11,21,0.524,16,48,21,9,5,13,24,2015-12-26,6,-9,-21,-0.004999999999999949,7,13,0.07,17,11,0.35100000000000003,-9,-5,0,1,8,3,0,2854.0,76.0,1032.0,-13.0,2360.0,-13.0,12.254000000000003,-0.09500000000000003,284.0,46.0,809.0,104.0,9.786,0.1479999999999998,506.0,56.0,657.0,70.0,21.977,0.7169999999999999,248.0,8.0,1231.0,-25.0,604.0,-47.0,199.0,8.0,159.0,27.0,343.0,-43.0,515.0,-64.0
275,275,2735,3033,CHO,30,2015-12-28,Home,LAL,W,108,98,43,89,0.483,6,25,0.24,16,22,0.727,7,46,28,7,6,10,16,35,85,0.41200000000000003,9,29,0.31,19,23,0.826,6,41,24,7,4,11,17,2015-12-28,10,8,4,0.07100000000000001,-3,-4,-0.07,-3,-1,-0.09899999999999998,1,5,4,0,2,-1,-1,2952.0,82.0,1060.0,-22.0,2429.0,-34.0,12.660000000000004,-0.09999999999999998,298.0,53.0,841.0,117.0,10.224,0.2179999999999998,534.0,73.0,689.0,81.0,22.852,1.0679999999999998,255.0,-1.0,1274.0,-30.0,625.0,-47.0,209.0,9.0,172.0,35.0,359.0,-40.0,539.0,-64.0
276,276,2736,3145,CHO,31,2015-12-30,Home,LAC,L,117,122,38,88,0.4320000000000001,9,30,0.3,32,36,0.889,17,42,20,8,3,11,26,37,71,0.521,15,30,0.5,33,41,0.805,8,39,27,7,7,12,26,2015-12-30,-5,1,17,-0.08899999999999991,-6,0,-0.2,-1,-5,0.08399999999999996,9,3,-7,1,-4,-1,0,3060.0,92.0,1103.0,-14.0,2518.0,-30.0,13.143000000000004,-0.02899999999999997,304.0,50.0,866.0,113.0,10.464,0.1479999999999998,550.0,70.0,711.0,80.0,23.579,0.9689999999999999,262.0,0.0,1320.0,-25.0,653.0,-43.0,216.0,9.0,178.0,37.0,369.0,-41.0,555.0,-65.0
277,277,2737,3235,CHO,32,2016-01-01,Away,TOR,L,94,104,34,85,0.4,10,32,0.313,16,18,0.889,14,43,15,7,7,10,16,36,91,0.396,15,33,0.455,17,18,0.9440000000000001,20,54,21,6,4,13,19,2016-01-01,-10,-2,-6,0.0040000000000000036,-5,-1,-0.14200000000000002,-1,0,-0.05499999999999994,-6,-11,-6,1,3,-3,-3,3177.0,87.0,1141.0,-13.0,2606.0,-13.0,13.575000000000005,-0.11799999999999988,313.0,44.0,896.0,113.0,10.764000000000001,-0.05200000000000021,582.0,69.0,747.0,75.0,24.468,1.053,279.0,9.0,1362.0,-22.0,673.0,-50.0,224.0,10.0,181.0,33.0,380.0,-42.0,581.0,-65.0
278,278,2738,3333,CHO,33,2016-01-02,Home,OKC,L,90,109,29,84,0.345,6,22,0.273,26,34,0.765,7,34,18,7,7,4,27,35,79,0.44299999999999995,9,23,0.391,30,37,0.8109999999999999,10,53,20,2,15,12,27,2016-01-02,-19,-6,5,-0.09800000000000003,-3,-1,-0.11800000000000001,-4,-3,-0.04599999999999993,-3,-19,-2,5,-8,-8,0,3271.0,77.0,1175.0,-15.0,2691.0,-19.0,13.975000000000005,-0.11399999999999988,323.0,39.0,928.0,112.0,11.077000000000002,-0.19400000000000023,598.0,68.0,765.0,75.0,25.357,0.998,293.0,3.0,1405.0,-33.0,688.0,-56.0,231.0,11.0,188.0,36.0,390.0,-45.0,597.0,-68.0
279,279,2739,3433,CHO,34,2016-01-04,Away,GSW,L,101,111,38,86,0.442,7,21,0.33299999999999996,18,19,0.9470000000000001,8,41,15,7,1,11,12,45,87,0.517,15,34,0.441,6,6,1.0,3,37,32,4,9,11,19,2016-01-04,-10,-7,-1,-0.07500000000000001,-8,-13,-0.10799999999999997,12,13,-0.05300000000000005,5,4,-17,3,-8,0,-7,3361.0,58.0,1204.0,-21.0,2775.0,-14.0,14.320000000000006,-0.2119999999999999,329.0,36.0,950.0,111.0,11.350000000000001,-0.3120000000000002,624.0,64.0,799.0,72.0,26.122,0.9520000000000001,300.0,0.0,1439.0,-52.0,706.0,-58.0,238.0,16.0,195.0,28.0,394.0,-53.0,624.0,-68.0
