,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,date,Points-Differential,FieldGoals-Differential,FieldGoalsAttempted-Differential,FieldGoals.-Differential,3PointShots-Differential,3PointShotsAttempted-Differential,3PointShots.-Differential,FreeThrows-Differential,FreeThrowsAttempted-Differential,FreeThrows.-Differential,OffRebounds-Differential,TotalRebounds-Differential,Assists-Differential,Steals-Differential,Blocks-Differential,Turnovers-Differential,TotalFouls-Differential,cumalitive_Points,cumalitive_Points_differential,cumalitive_FieldGoals,cumalitive_FieldGoals_differential,cumalitive_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted_differential,cumalitive_FieldGoals.,cumalitive_FieldGoals._differential,cumalitive_3PointShots,cumalitive_3PointShots_differential,cumalitive_3PointShotsAttempted,cumalitive_3PointShotsAttempted_differential,cumalitive_3PointShots.,cumalitive_3PointShots._differential,cumalitive_FreeThrows,cumalitive_FreeThrows_differential,cumalitive_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted_differential,cumalitive_FreeThrows.,cumalitive_FreeThrows._differential,cumalitive_OffRebounds,cumalitive_OffRebounds_differential,cumalitive_TotalRebounds,cumalitive_TotalRebounds_differential,cumalitive_Assists,cumalitive_Assists_differential,cumalitive_Steals,cumalitive_Steals_differential,cumalitive_Blocks,cumalitive_Blocks_differential,cumalitive_Turnovers,cumalitive_Turnovers_differential,cumalitive_TotalFouls,cumalitive_TotalFouls_differential
2132,2132,4592,1190,SAS,1,2015-10-28,Away,OKC,L,106,112,45,93,0.484,5,15,0.33299999999999996,11,13,0.846,7,36,22,11,9,13,18,42,86,0.488,7,19,0.368,21,22,0.955,11,45,21,7,4,19,19,2015-10-28,-6,3,7,-0.0040000000000000036,-2,-4,-0.034999999999999976,-10,-9,-0.109,-4,-9,1,4,5,-6,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2133,2133,4593,2190,SAS,2,2015-10-30,Home,BRK,W,102,75,40,86,0.465,9,22,0.409,13,13,1.0,12,56,23,7,4,18,16,31,77,0.40299999999999997,5,16,0.313,8,15,0.5329999999999999,2,32,17,6,6,15,17,2015-10-30,27,9,9,0.062,4,6,0.09599999999999996,5,-2,0.4670000000000001,10,24,6,1,-2,3,-1,106.0,-6.0,45.0,3.0,93.0,7.0,0.484,-0.0040000000000000036,5.0,-2.0,15.0,-4.0,0.33299999999999996,-0.034999999999999976,11.0,-10.0,13.0,-9.0,0.846,-0.109,7.0,-4.0,36.0,-9.0,22.0,1.0,11.0,4.0,9.0,5.0,13.0,-6.0,18.0,-1.0
2134,2134,4594,3190,SAS,3,2015-11-01,Away,BOS,W,95,87,36,83,0.434,5,19,0.263,18,25,0.72,10,51,22,10,6,18,16,35,98,0.35700000000000004,6,29,0.207,11,14,0.7859999999999999,16,45,21,10,5,16,23,2015-11-01,8,1,-15,0.07699999999999996,-1,-10,0.05600000000000002,7,11,-0.06599999999999995,-6,6,1,0,1,2,-7,208.0,21.0,85.0,12.0,179.0,16.0,0.9490000000000001,0.057999999999999996,14.0,2.0,37.0,2.0,0.742,0.060999999999999985,24.0,-5.0,26.0,-11.0,1.846,0.3580000000000001,19.0,6.0,92.0,15.0,45.0,7.0,18.0,5.0,13.0,3.0,31.0,-3.0,34.0,-2.0
2135,2135,4595,4190,SAS,4,2015-11-02,Away,NYK,W,94,84,39,79,0.494,4,13,0.308,12,17,0.706,8,45,21,6,7,13,12,32,89,0.36,4,13,0.308,16,21,0.762,17,49,17,8,3,10,18,2015-11-02,10,7,-10,0.134,0,0,0.0,-4,-4,-0.05600000000000005,-9,-4,4,-2,4,3,-6,303.0,29.0,121.0,13.0,262.0,1.0,1.383,0.13499999999999995,19.0,1.0,56.0,-8.0,1.005,0.117,42.0,2.0,51.0,0.0,2.566,0.29200000000000015,29.0,0.0,143.0,21.0,67.0,8.0,28.0,5.0,19.0,4.0,49.0,-1.0,50.0,-9.0
2136,2136,4596,5190,SAS,5,2015-11-04,Away,WAS,L,99,102,37,81,0.457,7,22,0.318,18,20,0.9,9,49,21,5,3,20,21,42,87,0.483,8,23,0.348,10,14,0.7140000000000001,4,33,27,11,3,10,19,2015-11-04,-3,-5,-6,-0.025999999999999968,-1,-1,-0.029999999999999968,8,6,0.18599999999999994,5,16,-6,-6,0,10,2,397.0,39.0,160.0,20.0,341.0,-9.0,1.877,0.26899999999999996,23.0,1.0,69.0,-8.0,1.313,0.117,54.0,-2.0,68.0,-4.0,3.272,0.2360000000000001,37.0,-9.0,188.0,17.0,88.0,12.0,34.0,3.0,26.0,8.0,62.0,2.0,62.0,-15.0
2137,2137,4597,6190,SAS,6,2015-11-07,Home,CHO,W,114,94,45,81,0.556,9,21,0.429,15,23,0.652,6,42,35,11,3,12,26,34,73,0.466,6,19,0.316,20,31,0.645,6,33,15,7,0,15,18,2015-11-07,20,11,8,0.09000000000000002,3,2,0.113,-5,-8,0.007000000000000006,0,9,20,4,3,-3,8,496.0,36.0,197.0,15.0,422.0,-15.0,2.334,0.243,30.0,0.0,91.0,-9.0,1.631,0.08700000000000004,72.0,6.0,88.0,2.0,4.172,0.42200000000000004,46.0,-4.0,237.0,33.0,109.0,6.0,39.0,-3.0,29.0,8.0,82.0,12.0,83.0,-13.0
2138,2138,4598,7190,SAS,7,2015-11-09,Away,SAC,W,106,88,46,87,0.529,6,23,0.261,8,11,0.727,8,46,34,11,7,16,19,34,84,0.405,7,19,0.368,13,19,0.684,11,42,25,10,5,19,14,2015-11-09,18,12,3,0.124,-1,4,-0.10699999999999997,-5,-8,0.042999999999999934,-3,4,9,1,2,-3,5,610.0,56.0,242.0,26.0,503.0,-7.0,2.89,0.333,39.0,3.0,112.0,-7.0,2.06,0.20000000000000004,87.0,1.0,111.0,-6.0,4.824,0.42900000000000005,52.0,-4.0,279.0,42.0,144.0,26.0,50.0,1.0,32.0,11.0,94.0,9.0,109.0,-5.0
2139,2139,4599,875,SAS,8,2015-11-11,Away,POR,W,113,101,46,82,0.561,7,15,0.467,14,18,0.778,8,42,27,4,4,11,21,39,88,0.44299999999999995,9,22,0.409,14,23,0.609,10,36,26,6,3,9,15,2015-11-11,12,7,-6,0.11800000000000005,-2,-7,0.05800000000000005,0,-5,0.16900000000000004,-2,6,1,-2,1,2,6,716.0,74.0,288.0,38.0,590.0,-4.0,3.419,0.457,45.0,2.0,135.0,-3.0,2.321,0.09300000000000007,95.0,-4.0,122.0,-14.0,5.551,0.472,60.0,-7.0,325.0,46.0,178.0,35.0,61.0,2.0,39.0,13.0,110.0,6.0,128.0,0.0
2140,2140,4600,956,SAS,9,2015-11-14,Home,PHI,W,92,83,33,85,0.38799999999999996,5,16,0.313,21,25,0.84,12,54,23,10,7,13,9,33,82,0.402,8,22,0.364,9,11,0.818,6,41,15,7,3,15,21,2015-11-14,9,0,3,-0.014000000000000012,-3,-6,-0.05099999999999999,12,14,0.02200000000000002,6,13,8,3,4,-2,-12,829.0,86.0,334.0,45.0,672.0,-10.0,3.98,0.5750000000000001,52.0,0.0,150.0,-10.0,2.7880000000000003,0.15100000000000013,109.0,-4.0,140.0,-19.0,6.329000000000001,0.641,68.0,-9.0,367.0,52.0,205.0,36.0,65.0,0.0,43.0,14.0,121.0,8.0,149.0,6.0
2141,2141,4601,1056,SAS,10,2015-11-16,Home,POR,W,93,80,38,89,0.4270000000000001,7,23,0.304,10,13,0.769,12,47,29,9,10,6,13,31,75,0.413,7,19,0.368,11,13,0.846,4,39,15,4,3,12,18,2015-11-16,13,7,14,0.014000000000000123,0,4,-0.064,-1,0,-0.07699999999999996,8,8,14,5,7,-6,-5,921.0,95.0,367.0,45.0,757.0,-7.0,4.368,0.561,57.0,-3.0,166.0,-16.0,3.1010000000000004,0.10000000000000014,130.0,8.0,165.0,-5.0,7.1690000000000005,0.663,80.0,-3.0,421.0,65.0,228.0,44.0,75.0,3.0,50.0,18.0,134.0,6.0,158.0,-6.0
2142,2142,4602,1191,SAS,11,2015-11-18,Home,DEN,W,109,98,42,86,0.488,9,18,0.5,16,20,0.8,10,50,33,5,13,10,13,38,98,0.38799999999999996,5,15,0.33299999999999996,17,18,0.9440000000000001,17,50,25,7,5,6,17,2015-11-18,11,4,-12,0.09999999999999998,4,3,0.16699999999999998,-1,2,-0.1439999999999999,-7,0,8,-2,8,4,-4,1014.0,108.0,405.0,52.0,846.0,7.0,4.795000000000001,0.5750000000000002,64.0,-3.0,189.0,-12.0,3.4050000000000002,0.03600000000000014,140.0,7.0,178.0,-5.0,7.938000000000001,0.5860000000000001,92.0,5.0,468.0,73.0,257.0,58.0,84.0,8.0,60.0,25.0,140.0,0.0,171.0,-11.0
2143,2143,4603,1258,SAS,12,2015-11-20,Away,NOP,L,90,104,34,84,0.405,9,17,0.529,13,16,0.813,5,43,22,5,8,8,17,40,88,0.455,8,22,0.364,16,17,0.941,7,53,26,3,3,9,17,2015-11-20,-14,-6,-4,-0.04999999999999999,1,-5,0.16500000000000006,-3,-1,-0.128,-2,-10,-4,2,5,-1,0,1123.0,119.0,447.0,56.0,932.0,-5.0,5.283000000000001,0.6750000000000002,73.0,1.0,207.0,-9.0,3.9050000000000002,0.20300000000000012,156.0,6.0,198.0,-3.0,8.738000000000001,0.44200000000000017,102.0,-2.0,518.0,73.0,290.0,66.0,89.0,6.0,73.0,33.0,150.0,4.0,184.0,-15.0
2144,2144,4604,1356,SAS,13,2015-11-21,Home,MEM,W,92,82,34,72,0.47200000000000003,7,21,0.33299999999999996,17,22,0.773,7,40,20,7,6,17,20,32,74,0.4320000000000001,1,9,0.111,17,17,1.0,7,35,19,13,2,16,23,2015-11-21,10,2,-2,0.03999999999999987,6,12,0.22200000000000006,0,5,-0.227,0,5,1,-6,4,1,-3,1213.0,105.0,481.0,50.0,1016.0,-9.0,5.6880000000000015,0.6250000000000002,82.0,2.0,224.0,-14.0,4.434,0.3680000000000002,169.0,3.0,214.0,-4.0,9.551000000000002,0.31400000000000017,107.0,-4.0,561.0,63.0,312.0,62.0,94.0,8.0,81.0,38.0,158.0,3.0,201.0,-15.0
2145,2145,4605,1456,SAS,14,2015-11-23,Home,PHO,W,98,84,42,82,0.512,9,20,0.45,5,10,0.5,11,38,21,18,3,20,20,34,73,0.466,7,19,0.368,9,10,0.9,9,37,23,13,3,28,17,2015-11-23,14,8,9,0.04599999999999999,2,1,0.08200000000000003,-4,0,-0.4,2,1,-2,5,0,-8,3,1305.0,115.0,515.0,52.0,1088.0,-11.0,6.160000000000002,0.665,89.0,8.0,245.0,-2.0,4.767,0.5900000000000003,186.0,3.0,236.0,1.0,10.324000000000002,0.08700000000000016,114.0,-4.0,601.0,68.0,332.0,63.0,101.0,2.0,87.0,42.0,175.0,4.0,221.0,-18.0
2146,2146,4606,1556,SAS,15,2015-11-25,Home,DAL,W,88,83,33,81,0.40700000000000003,8,28,0.28600000000000003,14,19,0.737,12,52,23,6,4,13,12,34,83,0.41,6,22,0.273,9,12,0.75,9,46,21,7,1,13,21,2015-11-25,5,-1,-2,-0.003000000000000003,2,6,0.013000000000000013,5,7,-0.013000000000000013,3,6,2,-1,3,0,-9,1403.0,129.0,557.0,60.0,1170.0,-2.0,6.672000000000002,0.7110000000000001,98.0,10.0,265.0,-1.0,5.2170000000000005,0.6720000000000004,191.0,-1.0,246.0,1.0,10.824000000000002,-0.31299999999999983,125.0,-2.0,639.0,69.0,353.0,61.0,119.0,7.0,90.0,42.0,195.0,-4.0,241.0,-15.0
