,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,date,Points-Differential,FieldGoals-Differential,FieldGoalsAttempted-Differential,FieldGoals.-Differential,3PointShots-Differential,3PointShotsAttempted-Differential,3PointShots.-Differential,FreeThrows-Differential,FreeThrowsAttempted-Differential,FreeThrows.-Differential,OffRebounds-Differential,TotalRebounds-Differential,Assists-Differential,Steals-Differential,Blocks-Differential,Turnovers-Differential,TotalFouls-Differential,cumalitive_Points,cumalitive_Points_differential,cumalitive_FieldGoals,cumalitive_FieldGoals_differential,cumalitive_FieldGoalsAttempted,cumalitive_FieldGoalsAttempted_differential,cumalitive_FieldGoals.,cumalitive_FieldGoals._differential,cumalitive_3PointShots,cumalitive_3PointShots_differential,cumalitive_3PointShotsAttempted,cumalitive_3PointShotsAttempted_differential,cumalitive_3PointShots.,cumalitive_3PointShots._differential,cumalitive_FreeThrows,cumalitive_FreeThrows_differential,cumalitive_FreeThrowsAttempted,cumalitive_FreeThrowsAttempted_differential,cumalitive_FreeThrows.,cumalitive_FreeThrows._differential,cumalitive_OffRebounds,cumalitive_OffRebounds_differential,cumalitive_TotalRebounds,cumalitive_TotalRebounds_differential,cumalitive_Assists,cumalitive_Assists_differential,cumalitive_Steals,cumalitive_Steals_differential,cumalitive_Blocks,cumalitive_Blocks_differential,cumalitive_Turnovers,cumalitive_Turnovers_differential,cumalitive_TotalFouls,cumalitive_TotalFouls_differential
164,164,5084,1201,BRK,1,2016-10-26,Away,BOS,L,117,122,43,97,0.44299999999999995,15,44,0.341,16,20,0.8,15,44,22,8,3,16,19,48,89,0.539,11,32,0.344,15,18,0.833,12,47,36,13,9,19,20,2016-10-26,-5,-5,8,-0.09600000000000004,4,12,-0.0029999999999999467,1,2,-0.03299999999999992,3,-3,-14,-5,-6,-3,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,165,5085,2201,BRK,2,2016-10-28,Home,IND,W,103,94,38,87,0.4370000000000001,10,33,0.303,17,20,0.85,12,52,20,6,4,16,23,37,98,0.37799999999999995,7,24,0.292,13,20,0.65,14,49,22,7,6,13,22,2016-10-28,9,1,-11,0.059000000000000115,3,9,0.01100000000000001,4,0,0.2,-2,3,-2,-1,-2,3,1,117.0,-5.0,43.0,-5.0,97.0,8.0,0.44299999999999995,-0.09600000000000004,15.0,4.0,44.0,12.0,0.341,-0.0029999999999999467,16.0,1.0,20.0,2.0,0.8,-0.03299999999999992,15.0,3.0,44.0,-3.0,22.0,-14.0,8.0,-5.0,3.0,-6.0,16.0,-3.0,19.0,-1.0
166,166,5086,3201,BRK,3,2016-10-29,Away,MIL,L,108,110,37,84,0.44,11,34,0.324,23,28,0.821,11,45,23,12,6,18,22,41,88,0.466,8,22,0.364,20,24,0.833,8,44,25,14,5,14,23,2016-10-29,-2,-4,-4,-0.026000000000000027,3,12,-0.03999999999999998,3,4,-0.012000000000000009,3,1,-2,-2,1,4,-1,220.0,4.0,81.0,-4.0,184.0,-3.0,0.8800000000000001,-0.03699999999999993,25.0,7.0,77.0,21.0,0.644,0.008000000000000063,33.0,5.0,40.0,2.0,1.65,0.1670000000000001,27.0,1.0,96.0,0.0,42.0,-16.0,14.0,-6.0,7.0,-8.0,32.0,0.0,42.0,0.0
167,167,5087,4201,BRK,4,2016-10-31,Home,CHI,L,88,118,33,96,0.344,5,31,0.161,17,21,0.81,16,45,14,12,3,15,15,45,89,0.506,11,27,0.40700000000000003,17,18,0.9440000000000001,13,58,26,9,9,19,22,2016-10-31,-30,-12,7,-0.16200000000000006,-6,4,-0.246,0,3,-0.1339999999999999,3,-13,-12,3,-6,-4,-7,328.0,2.0,118.0,-8.0,268.0,-7.0,1.32,-0.06299999999999996,36.0,10.0,111.0,33.0,0.968,-0.03199999999999992,56.0,8.0,68.0,6.0,2.471,0.15500000000000008,38.0,4.0,141.0,1.0,65.0,-18.0,26.0,-8.0,13.0,-7.0,50.0,4.0,64.0,-1.0
168,168,5088,5201,BRK,5,2016-11-02,Home,DET,W,109,101,41,76,0.539,13,27,0.48100000000000004,14,17,0.8240000000000001,5,45,27,10,3,19,23,37,88,0.42,9,25,0.36,18,21,0.857,10,38,21,11,6,13,18,2016-11-02,8,4,-12,0.11900000000000005,4,2,0.121,-4,-4,-0.03299999999999992,-5,7,6,-1,-3,6,5,416.0,-28.0,151.0,-20.0,364.0,0.0,1.6640000000000001,-0.22500000000000003,41.0,4.0,142.0,37.0,1.129,-0.2779999999999999,73.0,8.0,89.0,9.0,3.281,0.021000000000000185,54.0,7.0,186.0,-12.0,79.0,-30.0,38.0,-5.0,16.0,-13.0,65.0,0.0,79.0,-8.0
169,169,5089,6201,BRK,6,2016-11-04,Home,CHO,L,95,99,35,87,0.402,9,36,0.25,16,21,0.762,7,46,20,12,4,15,22,36,86,0.419,10,30,0.33299999999999996,17,24,0.708,7,49,24,7,3,16,18,2016-11-04,-4,-1,1,-0.01699999999999996,-1,6,-0.08300000000000002,-1,-3,0.05400000000000005,0,-3,-4,5,1,-1,4,525.0,-20.0,192.0,-16.0,440.0,-12.0,2.2030000000000003,-0.10599999999999998,54.0,8.0,169.0,39.0,1.61,-0.15699999999999992,87.0,4.0,106.0,5.0,4.105,-0.011999999999999733,59.0,2.0,231.0,-5.0,106.0,-24.0,48.0,-6.0,19.0,-16.0,84.0,6.0,102.0,-3.0
170,170,5090,7201,BRK,7,2016-11-08,Home,MIN,W,119,110,42,76,0.5529999999999999,12,33,0.364,23,26,0.885,5,43,20,5,5,20,19,39,92,0.424,12,28,0.429,20,28,0.7140000000000001,15,41,20,11,3,16,21,2016-11-08,9,3,-16,0.12899999999999995,0,5,-0.065,3,-2,0.17099999999999993,-10,2,0,-6,2,4,-2,620.0,-24.0,227.0,-17.0,527.0,-11.0,2.6050000000000004,-0.12299999999999994,63.0,7.0,205.0,45.0,1.86,-0.23999999999999994,103.0,3.0,127.0,2.0,4.867000000000001,0.042000000000000315,66.0,2.0,277.0,-8.0,126.0,-28.0,60.0,-1.0,23.0,-15.0,99.0,5.0,124.0,1.0
171,171,5091,881,BRK,8,2016-11-09,Away,NYK,L,96,110,33,79,0.418,11,33,0.33299999999999996,19,27,0.7040000000000001,7,40,19,9,4,18,20,44,92,0.478,10,30,0.33299999999999996,12,17,0.706,9,50,25,11,5,14,21,2016-11-09,-14,-11,-13,-0.06,1,3,0.0,7,10,-0.0019999999999998908,-2,-10,-6,-2,-1,4,-1,739.0,-15.0,269.0,-14.0,603.0,-27.0,3.1580000000000004,0.006000000000000005,75.0,7.0,238.0,50.0,2.224,-0.30499999999999994,126.0,6.0,153.0,0.0,5.752000000000001,0.21300000000000024,71.0,-8.0,320.0,-6.0,146.0,-28.0,65.0,-7.0,28.0,-13.0,119.0,9.0,143.0,-1.0
172,172,5092,962,BRK,9,2016-11-12,Away,PHO,W,122,104,40,84,0.47600000000000003,16,37,0.4320000000000001,26,30,0.867,6,55,22,6,10,17,19,40,107,0.374,8,33,0.242,16,21,0.762,17,55,23,9,3,12,20,2016-11-12,18,0,-23,0.10199999999999998,8,4,0.1900000000000001,10,9,0.10499999999999997,-11,0,-1,-3,7,5,-1,835.0,-29.0,302.0,-25.0,682.0,-40.0,3.5760000000000005,-0.05399999999999999,86.0,8.0,271.0,53.0,2.5570000000000004,-0.30499999999999994,145.0,13.0,180.0,10.0,6.456,0.21100000000000035,78.0,-10.0,360.0,-16.0,165.0,-34.0,74.0,-9.0,32.0,-14.0,137.0,13.0,163.0,-2.0
173,173,5093,1062,BRK,10,2016-11-14,Away,LAC,L,95,127,34,77,0.442,10,33,0.303,17,22,0.773,9,37,18,6,2,21,21,48,90,0.5329999999999999,14,25,0.56,17,21,0.81,9,43,32,17,6,11,22,2016-11-14,-32,-14,-13,-0.09099999999999993,-4,8,-0.2570000000000001,0,1,-0.03700000000000003,0,-6,-14,-11,-4,10,-1,957.0,-11.0,342.0,-25.0,766.0,-63.0,4.0520000000000005,0.04799999999999999,102.0,16.0,308.0,57.0,2.9890000000000003,-0.11499999999999982,171.0,23.0,210.0,19.0,7.323,0.31600000000000034,84.0,-21.0,415.0,-16.0,187.0,-35.0,80.0,-12.0,42.0,-7.0,154.0,18.0,182.0,-3.0
174,174,5094,11101,BRK,11,2016-11-15,Away,LAL,L,118,125,45,99,0.455,12,41,0.293,16,20,0.8,9,47,23,8,6,14,27,41,92,0.446,9,28,0.321,34,43,0.7909999999999999,14,55,24,9,2,11,17,2016-11-15,-7,4,7,0.009000000000000008,3,13,-0.028000000000000025,-18,-23,0.009000000000000119,-5,-8,-1,-1,4,3,10,1052.0,-43.0,376.0,-39.0,843.0,-76.0,4.494000000000001,-0.04299999999999994,112.0,12.0,341.0,65.0,3.2920000000000003,-0.37199999999999994,188.0,23.0,232.0,20.0,8.096,0.2790000000000003,93.0,-21.0,452.0,-22.0,205.0,-49.0,86.0,-23.0,44.0,-11.0,175.0,28.0,203.0,-4.0
